POW_SA2_CODE_2021,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
101021007,28,0,0,86,70,17,36,3,0,126,75,30,38,10,0,150,85,24,21,27,0,150,80,22,46,28,0,179,30,10,33,21,3,96,13,9,20,23,3,58,7,4,18,22,3,48,791,138,273,159,17,1373
101021008,8,0,0,87,68,16,11,0,0,95,64,13,19,0,0,100,61,12,16,0,5,89,45,10,11,0,0,57,21,9,0,0,0,25,3,6,0,0,0,11,0,0,0,0,0,13,783,105,93,9,3,986
101021009,34,4,0,571,480,39,23,3,3,548,491,36,16,3,3,550,389,30,37,0,3,457,297,27,26,3,6,354,152,26,14,0,0,185,41,8,7,0,0,57,12,3,5,3,0,26,4993,299,232,33,23,5582
101021010,10,0,0,306,200,32,18,3,0,253,251,39,11,0,3,303,181,49,14,6,5,254,141,16,12,0,0,179,63,16,14,4,0,102,22,11,8,0,3,37,7,11,5,6,0,22,2678,293,143,19,24,3159
101021012,24,0,0,247,181,59,29,3,0,270,172,50,24,3,3,255,119,44,27,5,0,196,92,35,23,9,0,153,41,9,19,0,0,72,10,5,8,6,0,20,3,3,0,0,0,8,2039,332,203,34,11,2608
101021610,9,0,0,59,30,9,9,0,0,46,22,10,4,5,0,43,25,4,0,0,0,31,12,4,0,0,0,12,12,5,0,0,0,16,0,0,0,0,0,3,0,0,0,0,0,0,452,70,61,9,0,600
101021611,38,8,0,326,245,58,27,6,0,337,236,60,54,18,3,374,178,62,60,12,0,312,107,43,52,30,3,236,58,35,39,27,3,162,26,18,26,25,0,95,3,16,24,22,4,64,2172,438,403,165,31,3207
101031013,9,0,0,86,73,10,9,0,0,92,81,3,15,3,3,109,107,14,22,4,3,145,78,12,13,9,5,120,15,10,25,8,6,57,11,4,16,16,0,47,3,0,10,8,6,29,786,76,137,66,21,1080
101031014,18,3,6,362,361,24,31,0,8,422,403,35,30,5,4,477,378,31,26,5,8,448,306,34,27,5,0,374,125,7,26,8,0,165,41,11,10,5,0,72,16,4,4,9,3,37,3587,213,241,53,38,4126
101031015,10,3,0,37,34,9,23,8,0,76,34,16,24,4,0,86,48,12,30,11,0,102,32,18,21,10,0,79,17,6,29,14,6,61,8,7,13,11,0,35,0,3,21,23,0,54,358,87,195,110,6,759
101031016,38,9,5,391,309,58,70,13,6,444,260,67,66,8,4,407,262,65,57,12,4,402,194,62,62,15,3,337,74,30,30,13,0,154,37,8,13,7,7,80,10,12,19,12,0,53,4302,419,449,111,53,5327
101041017,39,10,6,474,401,36,58,7,3,508,418,42,46,8,10,526,428,35,58,9,8,530,362,37,45,11,11,457,168,13,25,9,5,217,48,15,16,6,0,86,13,5,6,0,6,28,3999,289,371,64,69,4801
101041018,22,0,0,120,88,22,32,5,4,150,100,11,32,0,0,149,128,18,36,4,0,184,106,17,31,3,5,161,49,10,17,7,0,86,8,10,5,0,0,30,0,15,4,0,0,19,961,134,235,28,22,1379
101041019,37,5,4,498,510,32,53,6,5,610,589,35,54,4,9,690,594,42,55,3,7,699,487,38,51,9,6,592,187,20,24,8,4,248,34,12,13,5,3,68,13,10,3,10,0,38,4820,281,375,49,54,5573
101041020,35,5,5,116,57,32,39,14,4,145,72,22,63,16,5,181,93,33,60,25,9,216,91,27,70,31,6,226,25,18,67,32,5,143,12,11,42,36,3,99,0,0,29,28,5,65,751,185,467,204,52,1667
101041021,4,0,0,83,84,18,13,0,0,116,77,10,15,5,3,110,106,10,16,0,0,132,73,9,21,0,0,106,18,5,5,0,0,27,3,3,3,0,0,15,4,0,0,0,0,4,741,67,113,15,12,953
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,10,3,0,125,130,11,12,4,4,161,121,13,19,5,0,155,130,19,16,4,10,177,133,19,16,0,0,168,60,18,12,0,0,90,12,0,4,5,0,28,3,4,7,5,0,20,1105,112,120,25,24,1385
101041024,14,9,0,75,51,3,19,8,3,90,64,13,19,9,4,104,62,18,26,10,0,114,59,3,21,5,0,95,18,18,28,11,0,72,9,7,12,9,0,30,0,0,13,9,0,22,520,86,175,56,12,851
101041025,47,9,3,363,283,58,63,10,4,429,338,50,65,10,3,463,317,48,69,10,9,450,276,58,69,10,8,422,116,24,36,9,0,189,30,28,18,11,0,88,16,7,15,3,0,49,3065,393,489,82,53,4075
101041026,34,3,4,330,347,23,47,0,9,432,376,40,44,0,7,468,350,33,64,14,8,463,319,30,46,6,11,416,144,19,28,8,5,206,34,8,13,11,3,68,6,3,3,0,4,22,3122,221,362,47,70,3830
101041027,36,8,7,248,188,35,53,7,0,283,225,39,53,3,11,332,233,29,55,11,9,335,231,28,95,10,13,374,110,35,48,12,4,213,21,15,30,7,8,78,13,5,13,6,3,42,2063,240,480,77,68,2933
101051539,58,7,5,994,950,64,64,6,8,1103,966,67,63,6,7,1103,1018,73,86,19,8,1193,734,73,62,10,8,884,326,32,37,10,0,401,88,22,23,3,4,141,22,3,15,15,4,64,9764,538,595,94,90,11081
101051540,68,15,7,353,225,48,65,27,15,382,248,43,84,22,15,412,258,59,77,49,9,452,181,48,99,86,9,420,83,31,77,65,6,261,36,15,70,72,6,198,16,13,62,61,4,158,2415,375,724,444,76,4037
101061541,26,5,0,239,189,24,28,3,5,245,185,23,28,3,5,241,189,18,25,4,5,234,151,16,26,5,0,193,58,13,16,8,5,96,19,0,14,3,0,36,9,0,6,0,3,19,2036,159,226,42,26,2487
101061542,28,6,0,197,117,51,59,18,4,248,138,55,43,27,3,263,106,53,67,30,0,257,98,30,72,61,0,257,49,34,57,57,6,199,23,15,52,54,9,149,11,20,41,58,7,131,1424,358,557,334,31,2698
101061543,45,10,0,473,374,38,50,3,3,468,385,42,52,9,3,489,370,53,53,6,7,489,293,27,47,18,11,397,109,24,36,9,7,181,30,18,17,14,10,85,12,13,6,18,5,52,3845,322,421,109,62,4755
101061544,34,5,0,193,135,30,41,16,5,224,154,32,54,18,9,265,170,35,59,33,3,298,128,25,60,36,4,253,63,22,65,31,3,187,23,13,28,25,8,97,10,13,29,37,3,93,1491,243,450,235,43,2461
102011028,30,5,0,124,68,34,34,0,0,145,68,46,49,3,0,167,65,35,35,6,0,148,31,20,23,9,7,87,14,14,15,3,0,45,3,8,10,0,0,28,6,6,5,0,0,16,725,232,272,44,9,1293
102011029,33,8,0,176,95,54,44,10,0,202,96,36,50,7,0,186,78,39,35,6,3,160,80,32,45,8,0,165,28,23,18,5,0,79,10,18,5,5,0,42,3,17,5,3,0,35,890,307,323,72,10,1601
102011030,31,10,0,684,580,57,40,17,6,695,640,58,56,7,4,766,549,70,49,17,6,697,358,59,40,10,6,471,129,31,30,14,3,213,25,10,16,7,0,65,10,13,12,19,3,54,5361,459,340,114,56,6329
102011031,66,15,7,956,766,108,75,16,5,963,758,123,75,17,11,982,722,107,61,9,5,896,569,60,54,9,6,692,223,38,29,8,3,295,54,22,20,16,4,119,11,9,13,6,6,52,8503,699,552,108,60,9930
102011032,92,14,8,2112,2084,152,127,23,11,2404,2017,138,93,19,13,2284,1828,142,111,14,12,2106,1345,102,110,20,3,1584,546,68,61,18,7,699,127,40,36,11,5,223,56,18,17,7,10,110,18433,1048,891,159,97,20629
102011033,17,5,0,157,143,19,15,0,0,173,156,19,8,0,0,183,134,12,9,3,0,151,94,9,10,4,0,118,44,7,6,0,6,52,8,3,3,0,0,17,0,0,3,0,0,4,1165,92,101,18,8,1384
102011034,28,0,0,201,176,31,38,0,4,241,195,29,27,5,7,253,192,19,24,5,0,244,139,16,25,3,3,193,75,4,10,0,0,89,20,7,8,0,0,33,0,0,0,4,0,13,1997,180,225,27,22,2445
102011035,12,5,0,91,69,13,13,0,0,97,66,14,17,0,5,105,82,16,11,0,0,106,54,8,17,3,0,81,34,5,9,0,0,39,6,0,4,4,0,17,0,0,5,0,0,10,666,95,122,21,7,900
102011036,22,9,0,287,274,24,28,8,0,341,265,33,29,4,0,336,293,16,39,3,0,355,199,24,19,3,0,248,69,7,6,0,0,88,12,7,5,3,0,30,3,0,0,5,0,5,2756,178,227,44,12,3209
102011037,25,0,0,109,81,24,26,0,0,130,84,16,17,0,0,116,84,7,20,0,0,115,61,16,14,0,0,95,24,16,12,0,0,50,13,3,6,0,0,21,8,3,0,6,0,15,703,115,155,21,3,998
102011038,18,3,0,88,42,17,26,3,0,87,47,26,15,5,0,96,43,28,22,9,0,96,33,11,25,3,0,64,19,4,11,0,0,36,6,7,3,0,0,15,0,3,0,0,0,6,452,137,193,31,5,825
102011039,50,5,3,335,211,77,60,17,0,369,204,72,67,7,0,348,162,67,46,3,0,281,112,47,34,5,0,194,54,22,31,8,0,114,9,17,9,0,0,41,7,10,4,3,0,30,2315,452,440,67,27,3303
102011040,77,15,3,421,244,53,84,6,0,383,265,40,88,10,6,413,250,53,73,7,5,390,219,36,53,8,11,333,95,30,41,7,0,169,28,17,19,0,0,64,10,15,14,9,0,45,2884,389,602,90,48,4012
102011041,35,6,0,186,115,58,50,10,0,227,105,42,54,8,0,203,94,42,24,8,3,175,81,21,36,12,0,144,26,7,14,5,0,52,9,12,9,0,0,26,8,0,4,7,0,9,1211,287,314,58,7,1880
102011042,44,4,3,366,335,30,42,6,3,417,356,40,46,6,7,453,337,29,31,7,3,415,309,29,42,4,6,390,92,15,23,7,0,142,27,5,9,3,0,39,6,3,9,0,3,22,3475,220,337,55,41,4138
102011043,27,4,0,207,199,14,32,3,0,244,183,20,30,3,0,239,196,20,28,5,0,248,148,19,26,0,0,190,72,14,18,7,0,109,17,12,8,8,0,42,8,0,4,7,0,21,2054,160,241,29,16,2505
102021044,63,3,7,374,309,52,48,3,7,416,359,32,66,3,3,461,348,32,49,3,4,437,299,33,32,10,5,372,128,23,36,8,0,194,36,9,16,3,0,56,13,0,3,0,0,15,3659,323,463,71,39,4555
102021045,12,3,0,143,102,10,27,5,0,149,99,19,23,3,0,141,75,7,19,4,0,107,63,0,12,0,0,77,31,0,4,0,0,34,9,3,4,0,0,15,0,0,4,0,0,4,1036,79,157,30,3,1308
102021046,18,0,0,103,60,8,18,0,0,94,64,14,24,4,0,102,61,9,22,4,0,98,34,12,17,4,0,73,15,9,14,0,0,33,7,0,5,0,0,16,3,0,5,0,0,6,741,112,182,22,8,1065
102021047,60,5,3,554,466,60,54,8,0,592,483,70,65,10,8,630,451,58,45,6,0,567,324,53,39,6,5,429,118,17,13,4,0,155,24,12,10,0,0,54,6,5,0,3,0,22,4441,439,442,65,34,5412
102021048,39,3,0,364,292,44,48,3,4,389,305,24,45,9,3,384,303,26,46,6,3,381,232,17,26,0,0,277,103,12,25,3,0,137,19,7,5,0,0,26,7,7,3,0,3,20,3781,236,340,42,21,4421
102021049,16,4,0,77,52,19,13,4,0,87,49,16,19,3,0,88,40,13,18,7,0,77,43,14,12,5,0,77,17,6,8,6,0,37,3,9,4,4,0,27,4,11,4,4,0,16,610,130,123,38,7,912
102021050,21,0,0,186,157,13,19,0,3,193,146,25,27,3,0,205,171,20,17,0,0,206,109,6,21,9,0,146,39,8,13,10,0,61,11,5,9,0,0,19,3,4,5,3,0,14,1540,120,166,26,13,1873
102021051,22,0,0,215,217,26,17,7,0,263,186,22,23,0,0,229,190,24,20,3,9,237,133,16,13,4,0,159,45,18,13,4,0,81,15,12,4,0,0,35,7,4,0,0,3,14,1717,177,137,24,15,2078
102021052,13,0,0,64,47,16,25,0,0,89,44,12,13,0,0,78,44,13,11,0,0,71,18,16,4,9,0,37,3,4,5,0,0,16,6,0,4,0,0,11,0,0,0,0,0,4,388,86,135,18,3,633
102021053,55,10,4,333,230,51,57,5,4,342,217,45,44,4,3,314,207,33,40,10,6,302,145,41,38,3,4,237,74,20,35,6,0,138,18,19,18,0,0,61,5,11,14,3,0,33,2405,369,427,68,35,3313
102021054,29,4,0,229,175,20,34,12,4,250,182,33,29,5,3,248,150,13,25,8,0,198,121,19,35,0,3,179,39,9,17,4,0,72,13,7,3,3,0,23,0,5,5,0,0,15,1755,178,255,52,20,2261
102021055,37,9,7,950,857,78,41,9,3,980,889,99,45,7,9,1050,688,56,43,9,6,797,489,50,36,13,3,590,199,40,18,12,4,266,37,15,12,0,0,69,7,10,4,4,4,26,9074,525,331,70,64,10063
102021056,62,10,4,816,783,42,64,19,6,916,697,42,57,12,5,811,740,45,37,9,3,830,498,28,31,7,6,561,178,14,15,3,3,221,42,14,7,5,0,70,12,3,9,3,0,23,6723,313,420,89,38,7577
102021057,23,8,0,662,575,53,29,4,3,666,594,59,34,7,4,699,481,38,31,6,3,567,348,18,18,6,4,396,130,13,17,8,0,163,37,11,3,5,0,58,11,4,0,9,3,28,5263,320,243,62,37,5926
103011059,18,3,0,370,357,33,42,6,3,437,366,36,27,11,3,443,335,37,26,8,0,409,228,28,25,12,3,293,85,14,14,8,0,130,25,7,9,4,0,47,9,3,6,10,6,28,3402,273,247,61,30,4014
103011060,24,8,0,85,67,11,29,7,3,122,54,21,34,10,4,120,50,23,41,18,0,139,64,15,47,27,0,150,31,15,32,26,7,112,7,9,34,25,0,82,5,8,27,33,3,70,614,143,315,162,28,1262
103011061,17,0,0,184,158,9,15,4,0,197,197,24,20,7,4,258,173,14,25,12,9,233,142,15,22,16,0,198,85,18,24,24,7,146,29,7,24,11,3,73,11,3,16,20,3,55,1714,142,199,110,43,2206
103011612,56,5,0,1035,1008,83,58,6,8,1154,1009,73,65,7,6,1160,849,49,66,11,7,987,676,36,53,8,0,779,311,23,36,12,5,388,88,11,20,14,0,132,29,0,13,13,4,55,10238,487,527,88,56,11397
103011613,34,0,0,285,241,21,26,4,0,295,228,29,30,5,0,295,211,32,26,8,0,274,159,22,34,0,5,220,73,17,17,3,4,109,21,4,6,5,0,34,3,0,4,3,0,14,2463,196,264,41,16,2975
103021062,25,13,4,243,151,21,41,20,4,242,150,32,34,34,6,253,142,24,43,29,3,240,155,22,44,39,4,264,59,20,43,31,5,165,29,8,21,28,8,89,16,6,23,26,6,75,1707,219,353,272,49,2602
103021063,34,0,3,353,327,38,43,4,3,414,360,19,45,4,5,425,327,32,49,8,5,425,221,25,50,4,7,309,115,17,42,9,8,186,36,13,14,8,0,70,16,4,19,5,3,51,3281,217,372,68,51,3983
103021064,28,5,0,150,104,9,33,16,0,168,107,13,44,23,4,184,102,20,51,14,3,196,94,12,49,19,7,172,50,6,47,28,3,137,5,5,29,20,0,68,7,8,33,24,5,77,1039,119,382,168,31,1739
103021065,38,14,5,376,291,30,34,21,4,382,308,29,59,20,7,424,313,36,74,23,11,461,253,22,66,19,7,377,108,33,45,29,3,212,26,10,33,17,8,94,15,0,34,29,6,82,3185,264,487,207,64,4195
103021066,31,3,0,111,64,9,27,5,0,113,69,17,33,5,3,122,80,13,35,10,0,137,65,9,44,15,7,137,28,10,37,23,0,89,8,9,15,16,3,52,6,8,15,17,0,44,697,94,277,107,25,1198
103021067,19,4,0,389,342,35,34,5,5,425,370,39,37,7,3,454,363,26,28,3,7,431,268,19,32,13,4,342,106,19,20,6,0,152,28,11,10,6,0,59,14,3,13,6,0,35,3706,240,283,63,27,4315
103021068,17,5,0,147,112,8,22,15,0,153,99,3,31,18,4,157,90,9,40,22,0,167,83,9,38,10,3,149,26,8,22,27,0,85,7,4,14,35,0,56,5,3,19,18,0,42,1046,72,237,182,16,1552
103021069,28,15,3,254,192,22,31,9,8,256,177,26,43,17,6,270,177,22,57,21,7,278,149,17,45,23,7,234,61,13,35,23,9,134,20,4,20,19,0,67,9,3,14,24,5,55,1960,141,355,184,50,2688
103031070,29,0,3,436,504,28,41,14,0,594,510,23,28,3,3,570,515,28,31,0,4,579,389,20,45,7,9,468,135,12,22,11,3,182,55,8,11,7,0,72,18,9,10,4,4,42,4552,187,283,72,41,5138
103031071,30,5,0,249,242,23,35,3,3,307,213,22,30,8,4,276,242,32,31,12,3,318,184,32,41,22,4,284,41,20,28,19,3,110,15,10,18,15,3,55,11,3,15,23,3,50,2031,201,273,121,33,2661
103031072,53,3,0,597,491,54,74,11,5,630,529,70,61,4,6,666,486,52,54,7,9,603,367,34,48,11,5,462,150,25,34,4,0,213,44,12,13,6,3,80,19,10,10,17,0,58,5197,378,459,79,54,6173
103031073,9,0,0,77,50,14,18,6,0,85,70,14,20,0,5,107,80,16,17,0,0,120,54,7,20,9,8,101,19,5,11,15,4,60,3,18,13,8,0,39,6,5,12,18,0,44,585,90,132,76,26,908
103031074,36,12,3,468,341,29,64,17,7,464,363,41,47,25,6,486,311,25,63,33,5,444,202,33,64,35,8,345,70,19,52,24,9,177,15,11,42,31,3,105,3,6,22,37,3,82,3320,243,495,259,63,4378
103031075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103041076,33,6,0,288,224,32,35,7,3,296,264,31,39,16,3,358,202,31,41,8,5,282,180,22,39,23,0,264,74,14,57,18,3,166,15,7,23,19,0,71,11,7,17,21,5,59,2315,204,357,135,18,3032
103041077,88,8,9,1763,1689,119,102,7,3,1925,1546,107,77,10,19,1751,1337,110,94,21,10,1569,1079,76,91,10,8,1255,400,45,40,24,7,513,152,18,35,8,8,223,43,11,20,18,9,91,15933,795,778,123,103,17722
103041078,50,3,0,401,291,46,76,4,5,422,287,42,45,4,3,381,277,25,39,4,0,345,222,29,25,14,0,294,91,19,30,16,5,153,26,7,14,0,0,60,3,6,6,3,3,27,3424,297,426,71,34,4255
103041079,51,14,0,334,266,50,53,15,3,388,219,39,59,14,0,339,199,50,61,37,0,352,177,34,78,30,3,319,75,35,46,41,7,206,32,24,42,60,4,165,15,21,40,65,3,140,2244,375,532,319,43,3515
104011080,65,5,9,977,908,69,70,8,5,1062,949,48,86,6,9,1097,926,64,94,11,4,1100,714,38,74,9,15,848,272,44,49,14,7,387,55,3,23,15,4,102,28,13,17,12,7,68,8583,407,602,101,78,9775
104011081,48,5,9,274,202,25,65,13,3,308,202,27,57,27,5,316,199,45,78,28,12,361,160,26,73,38,15,306,52,24,58,46,3,190,13,16,37,31,5,107,5,10,23,36,6,74,1769,224,535,256,67,2853
104011082,69,15,9,509,424,66,100,10,8,602,473,56,89,14,5,643,485,68,86,18,9,668,419,44,96,15,11,583,159,32,51,17,14,271,46,14,25,11,3,101,10,11,13,5,3,42,4224,412,694,126,94,5548
104021083,39,5,4,171,134,25,42,4,0,208,161,21,58,3,5,245,169,20,55,9,5,256,121,13,39,8,6,196,57,9,38,10,0,119,9,9,19,10,0,51,6,8,16,10,0,44,1323,146,408,85,24,1993
104021084,69,6,0,667,603,61,80,11,5,761,544,72,72,5,4,692,503,50,66,12,3,633,421,37,87,12,3,559,153,33,42,7,3,239,46,15,19,6,5,88,10,9,15,0,4,36,5644,400,583,77,55,6758
104021085,85,15,10,1519,1565,110,99,13,13,1803,1472,109,112,15,17,1715,1369,101,101,9,14,1592,1155,79,72,15,15,1340,434,52,53,13,3,556,119,30,36,13,6,191,37,8,11,6,6,71,13450,701,760,111,125,15155
104021086,11,0,0,66,51,8,23,7,6,94,47,21,24,14,0,98,51,16,19,8,0,89,30,18,9,5,0,55,12,11,18,17,0,53,7,3,0,3,0,12,0,0,3,3,0,11,491,96,147,60,17,813
104021087,13,4,0,61,53,7,14,8,6,87,70,12,32,8,0,126,81,7,37,10,6,140,54,10,47,18,6,130,35,4,22,11,3,73,3,3,19,16,0,44,0,6,17,11,5,32,584,69,227,97,25,999
104021088,41,12,0,183,79,26,36,3,0,149,87,29,42,5,0,159,52,21,33,9,0,112,46,25,32,10,0,118,29,8,26,17,0,82,8,4,12,3,0,35,0,3,0,3,0,12,889,192,311,76,13,1483
104021089,77,9,6,433,379,48,77,12,0,516,363,50,77,8,0,499,357,52,63,8,3,489,263,24,75,18,6,379,104,17,49,14,0,188,28,12,12,13,0,64,3,4,9,4,0,19,3736,324,614,95,33,4799
104021090,14,0,0,92,90,6,23,6,0,124,101,13,32,4,0,149,112,16,24,6,0,148,101,17,25,8,0,149,32,11,20,10,0,74,8,8,4,7,0,18,0,0,3,0,0,7,892,106,177,41,8,1225
104021091,45,14,0,356,233,37,72,14,6,360,224,34,56,10,0,329,214,45,70,14,3,345,200,24,47,18,6,294,76,15,33,14,3,143,14,6,20,9,3,48,8,6,5,0,3,18,2689,256,482,139,32,3600
105011092,8,4,0,107,85,10,5,4,0,103,117,14,19,11,3,168,94,23,18,19,0,159,85,11,23,14,4,133,27,8,12,18,0,63,27,0,15,9,4,45,6,9,0,8,0,22,1044,83,139,101,27,1392
105011093,16,3,0,207,185,15,12,7,0,219,163,11,24,7,3,204,171,20,19,6,5,220,162,7,13,10,5,197,61,7,11,15,4,91,13,4,8,8,4,28,0,0,8,15,0,26,1933,100,149,92,27,2300
105011094,12,4,0,101,91,3,18,8,3,120,110,18,18,25,7,175,101,19,16,23,4,169,79,13,39,20,0,155,48,4,27,19,3,104,8,0,15,15,4,40,3,9,8,13,4,33,1019,94,200,138,38,1488
105011095,16,4,0,170,167,22,31,17,4,238,192,26,43,17,6,281,184,27,35,15,0,261,130,12,32,23,3,201,48,11,23,8,5,88,20,4,19,4,0,50,6,4,11,37,6,56,1861,141,274,149,23,2445
105011096,21,9,0,142,105,7,20,13,0,140,144,11,28,28,0,211,132,10,26,23,0,193,132,14,31,32,3,209,63,8,21,31,6,131,25,7,18,19,0,70,8,3,5,21,0,41,1313,91,220,201,25,1852
105021097,33,6,5,625,583,23,28,4,9,649,608,37,36,7,0,691,667,49,34,13,3,767,546,45,43,13,7,659,217,17,36,6,5,277,56,8,16,8,3,94,20,7,6,11,0,43,6392,266,342,69,49,7121
105021098,16,14,4,70,60,10,12,7,0,94,64,4,22,5,0,101,53,7,21,14,0,96,45,3,21,17,0,95,22,12,27,19,3,77,7,9,12,3,5,36,3,4,15,7,0,34,553,76,190,103,15,936
105031099,22,14,0,220,184,17,43,17,4,262,207,27,37,23,3,294,182,30,52,33,11,309,163,18,61,36,5,285,88,12,42,31,5,176,22,5,37,35,0,100,11,11,24,45,3,99,1785,172,380,277,36,2652
105031100,43,6,6,661,539,49,30,8,9,634,591,50,36,9,7,700,551,46,51,13,9,664,438,43,45,14,5,547,207,15,20,3,10,266,52,12,17,5,3,96,26,7,17,6,0,52,6307,363,371,75,69,7184
105031101,60,5,12,1056,861,94,67,9,6,1043,897,82,71,9,6,1071,805,68,74,11,5,964,660,52,55,17,4,780,281,35,48,9,3,370,88,13,30,10,0,140,28,5,13,9,8,69,10238,584,623,104,67,11624
105031102,20,0,3,268,177,23,23,0,0,228,201,17,25,0,0,244,162,4,20,3,0,187,166,10,20,7,0,197,65,10,11,3,0,89,12,6,6,9,0,36,6,7,4,4,0,26,2246,152,196,32,9,2644
105031103,14,4,0,92,57,11,19,10,0,105,44,22,27,13,0,103,43,13,50,16,0,122,42,15,39,30,3,122,12,6,33,18,6,70,8,3,14,13,0,41,4,6,17,23,0,48,489,121,265,142,21,1034
105031104,24,8,5,128,86,15,33,11,0,148,117,7,34,19,4,172,98,22,38,25,0,184,97,11,36,20,5,163,38,11,33,17,8,107,17,3,16,14,3,53,0,9,23,23,0,49,967,92,301,168,37,1558
105031105,29,11,5,184,155,24,36,20,4,234,129,25,30,18,3,216,157,30,44,16,4,249,136,18,35,23,7,224,66,14,26,13,8,125,18,7,24,24,3,77,3,9,16,26,0,54,1519,187,309,185,42,2241
105031106,19,5,3,236,202,15,32,25,4,277,229,19,19,12,6,287,242,13,37,14,4,312,202,16,39,16,5,279,91,12,23,17,3,140,19,14,24,19,4,84,5,6,20,32,0,63,2253,131,270,163,39,2861
106011107,31,13,3,482,320,53,36,12,7,428,359,56,28,14,7,470,241,39,39,18,3,342,225,41,40,19,0,326,82,26,25,14,6,161,18,20,27,21,0,92,11,11,13,19,0,47,4020,368,355,152,37,4941
106011108,33,8,0,694,684,44,43,11,6,796,692,50,55,7,9,810,570,37,42,8,0,653,450,31,30,6,5,530,169,24,18,6,6,222,60,5,7,6,0,90,16,7,3,0,4,32,6633,333,369,84,50,7459
106011109,22,7,5,171,136,26,22,14,7,198,118,29,23,8,3,182,105,39,33,10,3,193,84,26,20,17,0,148,25,23,20,20,0,85,16,8,7,10,3,50,3,0,5,10,0,26,1109,229,229,101,22,1688
106011110,25,4,0,219,163,29,32,5,5,228,184,35,47,4,7,278,159,38,65,8,7,287,136,26,46,30,4,243,65,18,47,18,5,157,15,14,16,16,6,61,17,12,14,24,9,73,1605,265,374,118,44,2412
106011111,26,4,5,402,378,38,39,7,0,461,352,29,32,3,4,425,297,22,37,6,0,364,198,21,31,4,0,254,76,8,18,8,0,116,21,8,3,0,0,36,12,0,0,0,0,11,3427,220,306,51,25,4034
106011112,34,12,0,790,755,59,37,3,6,863,678,60,44,5,6,792,618,41,39,9,0,717,392,27,37,6,0,468,149,11,17,5,0,182,37,14,15,16,3,84,8,4,11,4,7,39,7828,376,333,92,37,8664
106011113,15,5,5,1087,1006,24,26,4,5,1059,845,27,24,10,3,905,639,19,27,8,7,705,352,30,24,19,5,431,90,13,28,13,3,145,11,5,14,17,3,57,5,5,12,13,0,44,7596,204,207,105,46,8152
106021114,31,0,0,832,762,48,36,5,6,857,720,42,32,3,4,798,561,39,26,7,5,634,410,33,45,10,8,504,155,14,24,12,0,202,31,11,7,4,0,52,9,4,0,6,0,24,7123,308,317,60,30,7843
106021116,12,5,0,120,72,27,15,3,0,119,98,32,23,0,0,144,86,22,32,5,0,139,61,14,23,9,0,109,24,14,10,4,0,49,9,7,6,3,0,26,0,0,3,4,0,12,908,156,172,42,4,1278
106021614,38,9,3,619,630,66,38,3,0,745,587,74,39,3,3,704,505,49,45,0,4,604,364,38,49,3,3,452,119,12,33,7,3,172,28,11,12,7,0,57,13,3,0,5,0,27,6879,389,402,62,33,7769
106021615,27,6,3,322,208,22,29,3,3,267,220,23,23,9,0,272,175,24,28,0,0,230,125,14,12,7,3,165,36,11,11,7,0,69,13,7,4,3,4,37,5,5,4,0,4,20,2554,184,234,50,22,3048
106021616,13,0,0,586,533,55,29,6,0,624,453,37,22,4,0,518,437,36,17,7,3,497,290,33,13,4,0,346,90,16,7,0,0,119,17,8,4,0,0,30,8,3,0,0,0,16,5107,317,177,26,20,5648
106021617,22,0,0,154,131,17,28,3,0,180,118,21,20,0,0,163,109,9,28,4,3,156,89,7,20,3,0,125,31,11,13,5,0,62,9,8,7,6,0,26,0,0,5,7,0,7,1250,124,183,45,9,1606
106021618,29,3,5,525,478,68,27,3,3,576,465,56,35,3,0,557,414,53,40,5,4,520,282,33,27,3,4,352,125,9,13,7,0,164,31,9,8,4,0,55,17,0,8,0,0,34,4984,389,302,49,31,5760
