POW_SA2_CODE_2021,P_75ov_EWFT,P_75ov_EWPT,P_75ov_EAFW,P_75ov_EHW_NS,P_75ov_Tot,P_Tot_EWFT,P_Tot_EWPT,P_Tot_EAFW,P_Tot_EHW_NS,P_Tot_Tot
117021637,7,21,0,0,31,2000,1532,377,58,3968
117031329,29,53,4,0,84,8659,3826,1147,215,13842
117031330,26,45,5,5,90,16699,6376,2376,421,25872
117031331,8,28,5,7,52,4496,2836,1058,148,8542
117031333,29,75,8,0,116,9963,3392,1196,224,14771
117031336,26,48,5,8,86,22707,6490,2348,384,31927
117031638,19,28,7,0,58,11620,4441,1187,211,17462
117031639,0,3,0,0,7,3441,1207,416,62,5127
117031640,15,26,3,0,40,2847,2348,813,80,6088
117031641,10,32,4,3,47,12777,3015,2729,292,18812
117031642,10,20,4,8,41,16170,3482,1214,301,21166
117031643,7,10,6,0,18,4271,1764,560,104,6701
117031644,206,371,112,56,738,229071,39298,18704,3622,290697
117031645,50,76,22,8,156,37228,9730,4721,788,52468
117031646,14,39,8,0,64,10287,3651,950,186,15066
117031647,8,13,0,0,19,3224,1751,450,80,5506
117031648,4,14,0,0,12,1652,1224,359,51,3297
118011339,0,22,0,0,30,1735,1573,283,63,3659
118011340,10,28,6,0,44,2239,2192,644,99,5168
118011341,27,77,15,0,122,7039,5049,2304,256,14644
118011342,0,0,0,0,0,39,21,15,3,78
118011344,8,19,5,0,33,765,759,110,34,1678
118011345,19,44,7,3,71,5717,2623,991,157,9490
118011346,14,46,6,0,71,2423,1727,461,95,4708
118011347,14,55,5,0,78,1471,1223,296,55,3049
118011649,21,59,3,4,78,1784,1277,282,77,3419
118011650,32,99,8,0,141,3230,2315,691,119,6357
118021564,9,24,3,4,50,5917,2816,534,118,9386
118021565,3,5,3,0,15,893,882,280,30,2088
118021566,9,8,3,0,19,1070,816,204,39,2128
118021567,0,6,0,0,13,675,631,158,25,1489
118021568,3,18,0,0,16,1075,1072,260,48,2457
118021569,10,27,3,0,46,2412,1571,370,71,4420
118021570,28,36,5,0,72,8056,3974,1160,213,13406
118021651,7,16,9,0,30,1609,1578,563,65,3819
118021652,0,7,0,0,11,1963,977,261,58,3262
118021653,7,9,0,0,21,1484,959,240,40,2726
118021654,0,3,0,0,9,294,287,49,12,643
119011354,0,16,4,0,14,1347,1316,470,79,3212
119011355,14,8,6,3,28,6948,1914,838,253,9953
119011356,19,33,10,0,66,8670,3325,1679,308,13986
119011358,12,10,6,4,26,1881,1534,627,93,4132
119011360,3,7,4,0,10,1267,1507,606,77,3453
119011361,4,4,5,0,8,870,795,397,65,2125
119011571,4,10,9,0,21,3040,2098,1052,138,6333
119011572,14,17,8,0,46,5357,3358,1495,261,10470
119011655,11,5,0,0,17,2846,1745,615,137,5338
119011656,0,3,0,0,9,640,555,254,54,1495
119011657,5,11,5,0,14,697,493,266,22,1481
119011658,4,11,3,0,16,821,797,320,26,1958
119021362,5,8,3,0,15,1333,1256,690,93,3372
119021366,9,16,4,0,34,2257,1508,698,142,4607
119021367,3,3,3,3,10,1041,1243,636,88,3001
119021573,0,0,3,0,9,1143,1210,381,85,2816
119021574,0,0,0,0,0,271,350,119,27,766
119021659,0,3,0,0,6,678,752,262,36,1733
119021660,7,6,4,0,15,1393,1089,532,73,3079
119021661,3,5,5,0,18,926,767,416,55,2170
119021662,5,12,4,0,22,998,989,374,54,2413
119021663,3,19,5,0,27,3245,1523,608,116,5488
119031370,5,10,5,0,22,729,627,258,34,1646
119031371,3,15,4,0,21,979,706,273,33,1992
119031372,19,37,12,0,63,2824,2073,915,90,5897
119031373,4,3,4,0,6,649,620,249,46,1563
119031374,7,23,5,0,34,1761,1509,497,80,3849
119031664,8,17,4,0,24,3020,2782,1154,124,7086
119031665,0,3,3,0,12,737,702,227,40,1701
119031666,0,17,3,0,20,867,898,281,38,2082
119031667,8,6,3,0,10,516,536,193,22,1267
119041377,3,6,10,6,22,848,813,336,36,2036
119041378,14,27,7,0,49,7352,3780,985,184,12305
119041379,5,15,3,6,29,1266,1086,406,59,2811
119041380,3,8,4,0,13,873,832,257,54,2009
119041381,8,22,5,0,31,2616,2073,686,115,5493
119041382,4,16,3,0,32,997,1150,429,53,2625
119041668,5,4,3,0,12,1530,1010,340,67,2952
119041669,0,8,0,0,11,866,784,256,37,1939
119041670,0,7,0,0,5,755,664,149,40,1605
119041671,0,0,0,0,4,638,512,142,27,1323
120011383,7,28,8,5,53,1995,1855,500,74,4418
120011385,4,37,8,0,50,1918,1761,655,68,4400
120011386,17,26,3,0,49,2500,2212,629,91,5432
120011672,13,17,4,5,35,5477,2408,703,169,8761
120011673,3,12,4,0,17,6624,1841,731,115,9314
120021387,14,48,9,3,74,2504,1801,478,72,4854
120021389,10,15,4,5,33,3642,1887,603,100,6232
120021674,3,15,0,0,25,1466,1183,298,43,2988
120021675,13,25,8,0,49,4691,2865,940,145,8646
120031392,4,3,0,0,11,678,741,272,31,1716
120031393,0,12,5,0,18,1211,1191,319,62,2778
120031394,0,15,4,0,20,1614,1216,246,53,3135
120031395,6,24,9,0,38,1981,1575,485,70,4113
120031396,26,31,9,3,64,5984,2658,988,211,9843
120031576,3,3,10,0,13,2085,899,345,69,3397
120031676,5,5,3,0,17,655,654,182,25,1512
120031677,0,14,4,3,24,2947,1857,532,99,5429
120031678,18,33,3,0,53,5075,3165,1522,215,9979
120031679,3,16,6,0,25,1246,1007,320,41,2616
120031680,6,32,0,0,43,2137,1989,469,100,4687
120031681,3,20,0,6,25,1737,846,229,77,2894
121011399,12,33,3,0,50,2798,1312,283,66,4460
121011401,38,79,17,8,145,24128,7779,2080,423,34408
121011682,4,9,0,0,12,701,586,102,13,1402
121011683,14,43,5,0,56,1364,1428,292,56,3138
121011684,39,86,19,7,157,12926,7094,2979,322,23323
121011685,6,44,0,0,52,2639,1925,313,58,4930
121011686,20,44,6,0,71,5417,2805,820,117,9161
121011687,4,16,0,0,27,1554,1244,321,35,3159
121021403,10,24,4,3,41,2863,1796,417,79,5155
121021404,4,14,0,0,16,743,797,237,7,1786
121021406,15,48,5,0,69,2870,2215,523,63,5666
121021577,18,33,3,7,58,4938,3782,1318,154,10196
121021578,6,10,4,0,23,1468,1212,383,44,3108
121021579,0,17,6,0,25,1102,1001,254,31,2386
121031407,24,59,9,8,94,3061,2351,499,91,6003
121031408,15,80,11,0,107,2361,2386,450,64,5260
121031409,22,53,7,0,80,3640,2055,545,67,6303
121031410,14,63,10,0,91,1966,2163,480,69,4679
121031411,16,67,4,0,89,1786,2146,415,56,4404
121031412,13,67,14,0,97,3480,2905,509,92,6987
121041413,8,46,9,0,59,1809,1519,356,65,3747
121041414,25,60,4,4,87,5364,2993,673,138,9170
121041416,28,86,4,3,117,4353,2531,581,128,7597
121041417,34,83,16,6,140,45900,7346,2523,715,56482
121041688,23,56,0,3,75,1541,1515,415,64,3531
121041689,13,65,16,0,98,2605,1951,571,87,5216
122011418,15,68,11,0,92,2583,2520,466,71,5643
122011419,17,58,7,0,83,3841,3168,992,92,8078
122021420,6,44,0,4,57,1603,1632,410,58,3708
122021421,14,46,0,5,66,1189,1102,191,30,2504
122021422,9,25,4,0,44,1307,1316,357,34,3015
122021690,32,77,11,14,134,5443,4001,871,149,10468
122021691,4,23,5,0,34,1652,1467,428,43,3589
122031424,6,13,0,0,26,798,901,227,29,1953
122031425,0,15,0,0,17,1871,1009,256,40,3169
122031427,3,21,4,0,32,1119,1256,222,35,2625
122031429,25,74,9,3,118,8922,6166,2027,222,17340
122031430,0,13,3,0,19,2071,1823,345,64,4297
122031432,8,23,0,0,38,1452,994,249,32,2719
122031692,10,35,14,0,60,3740,1893,527,80,6238
122031693,6,22,0,0,31,1167,1082,298,31,2579
122031694,0,0,0,0,3,797,705,168,27,1694
122031695,8,21,5,0,31,2069,1907,502,67,4547
122031696,19,45,10,0,73,6913,3632,759,125,11434
122031697,3,19,0,5,24,1225,1236,234,27,2719
123011433,5,17,4,3,28,2117,2050,618,77,4867
123011698,3,13,0,0,17,4791,2158,966,149,8062
123011699,7,10,0,0,20,2585,2460,1198,117,6356
123011700,0,5,0,0,4,545,605,203,28,1384
123011701,0,0,0,0,0,1313,1176,333,52,2878
123011702,0,0,3,0,4,399,465,106,18,984
123021436,3,5,0,0,9,941,720,250,37,1945
123021437,17,30,17,0,59,9272,6724,3140,390,19531
123021438,0,4,0,0,4,1014,869,320,51,2257
123021439,0,0,0,0,0,0,0,0,0,0
123021441,0,9,3,0,14,672,620,378,48,1717
123021443,6,13,4,3,18,4959,2235,769,179,8147
123021444,0,7,0,0,14,1118,1071,332,48,2576
123021703,0,0,0,0,7,511,417,157,17,1099
123021704,3,3,0,0,6,828,722,152,45,1740
123021705,24,14,4,0,42,7649,2746,1212,226,11833
123021706,0,8,0,0,6,998,730,235,39,2004
123031445,0,0,0,0,4,834,401,109,21,1365
123031446,4,15,3,0,20,2205,802,371,60,3429
123031447,11,16,0,4,27,2893,2019,590,90,5584
123031448,9,5,0,0,20,897,607,183,45,1727
124011449,5,14,5,0,26,518,659,197,28,1393
124011450,4,22,4,4,34,1549,1656,362,50,3628
124011451,0,0,0,0,0,23,5,6,0,33
124011452,12,46,4,0,75,2570,2739,1050,78,6442
124011453,4,11,0,0,15,840,893,168,21,1913
124011454,4,32,4,0,39,2153,2211,574,61,5003
124011455,0,15,3,0,17,491,626,124,16,1253
124021456,0,0,0,0,0,9,0,6,0,16
124031457,0,3,0,0,7,617,711,181,38,1550
124031459,6,21,5,0,23,2590,1571,487,67,4713
124031460,0,0,0,0,7,1261,1192,273,44,2762
124031461,8,17,7,0,35,2598,2186,999,122,5905
124031462,6,16,5,0,31,6252,3471,844,188,10758
124031463,10,27,6,0,42,2285,1154,432,66,3937
124031464,24,31,9,4,69,9941,6176,3050,305,19476
124031465,6,8,0,0,16,585,349,135,27,1099
124031707,0,7,5,0,16,1310,1114,291,47,2760
124031708,3,0,0,0,4,807,575,180,28,1598
124041466,11,26,4,0,45,4352,2814,841,129,8138
124041467,9,23,4,4,40,3768,2553,867,143,7326
124041468,8,9,3,0,16,1442,606,280,45,2372
124051469,0,0,0,3,0,5410,1512,510,166,7595
124051470,3,8,3,0,9,870,883,281,37,2064
124051580,0,0,0,0,0,500,433,121,22,1069
124051581,15,19,13,0,43,6125,2806,1184,227,10348
125011475,0,0,0,0,0,145,57,12,3,220
125011582,13,11,8,0,32,4028,1638,561,165,6385
125011583,8,4,6,0,15,2241,1331,599,111,4279
125011584,3,4,0,0,10,1467,751,309,66,2589
125011585,0,0,0,0,3,246,298,120,23,692
125011586,20,16,3,4,41,6800,3251,1386,310,11745
125011587,3,7,0,0,12,1331,677,284,63,2356
125011709,13,18,0,5,35,9056,2895,1301,274,13528
125011710,3,3,3,0,17,8572,3171,1101,216,13065
125021477,19,22,9,0,44,8443,2945,1256,205,12855
125021478,6,12,0,3,20,901,881,312,51,2141
125021711,0,17,3,0,23,933,1225,321,38,2519
125021712,6,13,3,6,21,951,867,273,45,2142
125031479,12,24,6,0,40,4351,2016,920,215,7502
125031480,7,10,4,0,27,2937,1764,716,139,5558
125031481,8,10,5,0,18,3447,1794,807,184,6234
125031483,8,0,0,0,7,1960,1331,530,140,3956
125031484,4,9,0,0,13,1183,951,467,84,2684
125031486,7,14,9,6,34,6398,1844,896,217,9357
125031487,9,0,0,3,12,2692,1196,485,118,4498
125031713,0,8,0,0,5,851,761,327,44,1988
125031714,9,9,4,0,17,1772,1593,782,133,4287
125031715,0,6,0,0,3,3859,1385,444,112,5801
125031716,0,0,0,0,0,206,248,94,16,567
125041489,12,28,8,0,55,5113,2920,1012,156,9205
125041490,3,18,5,0,20,2240,1358,525,59,4188
125041491,21,46,8,0,84,12285,5243,1436,319,19285
125041493,9,9,0,3,20,1967,1276,399,79,3721
125041494,0,13,3,0,19,1204,969,317,47,2539
125041588,9,11,5,0,26,3255,1590,681,139,5665
125041589,4,13,0,0,19,1291,1139,442,78,2952
125041717,37,56,11,7,111,34169,8343,4119,720,47353
125041718,0,6,0,0,6,1016,680,286,47,2034
125041719,3,5,3,0,13,3095,1526,538,126,5288
126011496,13,46,7,0,69,2384,2220,508,54,5174
126011720,3,15,4,0,23,827,851,193,23,1903
126011721,5,16,4,0,24,1200,1149,344,33,2722
126021498,17,42,8,0,72,3034,2209,658,92,5992
126021499,12,21,7,0,43,1487,1236,298,60,3080
126021500,31,65,13,9,120,39806,8954,3258,712,52732
126021501,14,29,5,0,46,8983,2422,658,172,12231
126021503,0,22,7,0,38,2741,2139,627,102,5606
126021590,0,6,0,0,6,323,296,85,9,717
126021722,3,10,0,0,14,539,469,90,17,1107
126021723,6,22,3,0,37,2010,2004,583,84,4680
126021724,12,7,0,0,23,2351,2001,725,117,5186
126021725,4,6,0,0,12,1062,826,286,47,2223
127011504,0,4,0,0,10,714,570,207,34,1527
127011505,14,13,0,0,19,1947,1234,565,102,3846
127011592,0,0,0,0,0,144,22,61,8,238
127011593,0,0,0,0,4,398,313,117,25,854
127011594,0,4,0,0,6,628,648,203,46,1522
127011595,0,0,0,0,6,1120,700,225,51,2102
127011596,0,3,3,0,4,913,907,287,43,2145
127011597,0,3,0,0,3,861,573,265,33,1728
127011726,3,5,0,0,7,665,431,147,20,1271
127011727,3,0,0,0,3,1539,1392,494,75,3501
127011728,5,14,0,5,16,1074,876,310,71,2332
127011729,3,0,0,0,3,1630,922,270,75,2901
127021509,5,0,3,0,6,966,1059,386,62,2477
127021510,0,4,0,0,5,764,631,392,60,1857
127021511,9,9,3,3,25,2750,2421,1126,161,6454
127021512,0,5,3,0,6,523,514,376,44,1459
127021513,0,3,0,0,7,910,882,463,58,2316
127021514,0,4,0,0,6,396,481,162,36,1081
127021515,13,10,4,0,27,2131,1793,784,133,4848
127021516,0,0,3,0,4,726,606,237,41,1614
127021517,0,6,0,0,7,1415,1293,586,79,3376
127021518,12,5,0,3,21,3813,1228,385,119,5549
127021519,3,3,9,0,16,1756,1243,589,77,3664
127021520,0,4,0,0,9,762,455,255,37,1502
127021521,22,30,12,0,59,11874,3979,1947,406,18200
127031522,4,14,3,0,16,1631,1694,530,86,3937
127031523,17,32,7,4,59,7854,3620,1574,307,13355
127031524,8,13,0,0,18,5321,1714,712,181,7927
127031599,3,0,0,0,10,337,275,143,31,783
127031601,3,0,5,0,12,2422,1135,580,98,4229
127031730,4,0,0,0,4,480,598,240,32,1347
127031731,13,28,13,0,56,9374,4598,1843,333,16149
127031732,0,5,0,0,8,1268,885,425,55,2637
127031733,11,14,4,0,33,6585,3591,1452,245,11873
128011529,0,16,7,0,25,1308,1416,411,39,3166
128011530,14,48,8,5,67,3920,4070,2083,132,10203
128011531,12,36,3,3,56,3074,2415,686,97,6271
128011602,24,35,9,5,74,6575,4516,1273,172,12538
128011603,0,18,0,0,18,685,622,159,18,1483
128011604,13,41,5,0,62,3590,2841,959,117,7503
128011605,0,0,0,0,0,187,178,51,3,416
128011606,0,14,0,0,16,719,655,169,20,1564
128021533,0,8,0,0,9,834,555,219,24,1631
128021534,4,8,0,0,12,589,622,127,21,1349
128021535,4,18,9,0,35,3212,2219,606,59,6098
128021536,10,17,5,0,35,1426,1639,413,48,3526
128021537,0,0,0,0,0,48,61,24,0,134
128021538,11,37,8,5,62,6091,4290,1245,184,11813
128021607,0,14,3,0,19,1455,1790,479,37,3758
128021608,0,10,0,0,10,371,331,61,4,759
128021609,0,4,0,0,4,137,115,41,7,296
197979799,0,0,0,0,0,26,4,11,0,39
199999499,235,856,306,88,1483,67331,56797,24814,3693,152632
201011001,4,4,0,0,9,2277,1618,193,48,4135
201011002,10,44,12,5,78,10199,8481,1309,274,20261
201011005,0,3,0,0,8,1731,920,173,51,2874
201011006,3,12,3,0,14,2841,1517,195,69,4617
201011007,0,7,0,0,4,304,186,21,6,520
201011008,7,22,6,0,34,6826,3113,516,156,10619
201011481,0,9,0,3,16,1283,1213,166,43,2712
201011482,3,15,0,3,17,1234,964,124,43,2365
201011483,7,10,0,5,16,1431,1133,181,51,2793
201011484,0,9,0,0,12,1388,1546,154,59,3148
201021009,12,20,0,0,32,953,779,107,43,1882
201021010,23,18,0,7,50,1060,827,119,40,2051
201021011,27,41,5,4,73,1592,1773,264,60,3694
201021012,20,21,0,4,44,658,391,61,27,1138
201031013,5,22,0,0,35,517,341,35,25,922
201031014,12,9,0,0,23,810,415,60,37,1327
201031015,5,13,0,0,26,408,226,29,13,675
201031016,5,13,0,4,28,1743,1522,230,85,3582
201031017,15,7,7,0,33,504,314,42,23,891
202011018,10,50,10,9,84,12003,9054,1461,335,22856
202011019,0,6,0,0,10,1182,939,127,39,2294
202011020,7,14,3,6,23,3962,2452,296,94,6809
202011021,0,4,0,0,3,1053,738,92,23,1902
202011022,8,28,0,0,36,3713,3028,350,106,7199
202011023,0,5,0,0,9,462,304,36,13,818
202011024,3,3,0,0,11,779,656,58,20,1515
202011025,0,11,0,3,16,2314,1255,221,56,3844
202021026,12,13,3,3,27,1293,459,78,40,1876
202021027,14,21,0,7,43,3060,2493,312,106,5971
202021028,26,20,0,3,50,834,763,109,40,1747
202021029,12,14,0,4,29,745,484,71,28,1333
202021030,22,43,6,5,66,2501,2095,288,92,4974
202021031,8,23,0,0,38,1079,1090,130,39,2341
202031032,15,10,0,0,28,1209,346,90,29,1671
202031033,40,35,5,9,88,1549,849,107,92,2594
203011034,10,8,0,0,22,913,790,69,26,1802
203011035,11,13,6,0,34,855,533,69,41,1494
203011036,14,31,3,0,53,823,723,76,32,1654
203021037,9,6,3,0,21,2238,2714,318,85,5356
203021039,45,69,8,14,129,20368,12961,2283,451,36060
203021040,9,27,0,0,35,2730,2806,304,87,5930
203021042,11,28,0,0,35,3862,2819,321,108,7105
203021043,7,15,0,0,26,5076,2343,385,150,7956
203021044,4,8,0,0,9,806,1167,112,33,2112
203021045,6,21,3,0,29,3046,2036,214,90,5383
203021046,11,22,8,0,40,2603,2096,236,58,4992
203021047,13,26,6,6,46,7823,3543,559,166,12092
203021485,0,0,0,0,3,601,499,54,20,1177
203021486,6,11,0,3,25,3918,1984,288,109,6297
203021487,0,18,0,6,22,3089,3525,417,109,7139
203021488,0,3,0,0,13,1968,1322,190,59,3542
203031048,7,21,0,0,30,1470,1421,175,40,3117
203031049,0,21,5,0,27,901,1114,234,33,2284
203031051,0,13,0,0,19,721,790,128,30,1676
203031052,10,25,0,0,34,850,979,191,40,2057
203031053,12,31,5,0,48,3666,3515,496,114,7788
203031489,11,3,0,0,16,1038,1109,171,37,2354
203031490,9,33,4,8,53,2181,2635,302,96,5213
204011054,23,46,3,8,76,1467,1038,213,59,2777
204011055,32,40,8,11,82,1213,888,120,60,2281
204011056,13,17,3,0,33,2441,1911,266,107,4740
204011057,14,41,11,8,64,2251,2000,284,109,4652
204011058,26,26,4,0,54,1081,593,88,29,1796
204011059,6,14,0,0,13,1538,1302,179,75,3100
204011060,9,15,0,0,30,1647,420,107,40,2213
204011061,0,0,0,0,0,27,10,4,0,38
204011062,27,23,8,5,58,523,530,88,18,1163
204021063,18,27,7,9,59,3011,1761,277,132,5182
204021064,25,24,0,0,48,520,278,49,21,867
204021065,8,20,3,0,33,925,456,145,22,1544
204021066,9,21,9,5,42,5874,4233,615,176,10898
204021067,66,51,0,8,128,1541,899,157,68,2658
204031068,8,8,3,0,22,891,821,151,28,1888
204031069,15,26,4,4,47,2006,2194,352,108,4658
204031070,13,8,0,3,28,328,257,41,15,646
204031071,8,19,0,5,34,1091,788,137,56,2069
204031072,47,35,9,5,96,1255,822,130,49,2251
204031073,7,23,5,0,32,3251,1644,256,82,5226
204031075,24,20,4,0,42,718,515,80,34,1347
204031491,5,12,0,5,26,2855,957,164,84,4052
204031492,15,37,0,3,60,7157,3956,574,207,11885
205011076,21,32,4,0,58,2349,1876,208,104,4537
205011077,18,36,0,5,52,999,711,120,50,1882
205011078,21,22,6,5,50,1174,934,128,61,2294
205011079,36,74,9,7,128,5730,4544,592,195,11059
205021080,0,0,0,0,0,0,0,0,0,0
205021081,13,38,3,5,62,5162,3794,550,219,9720
205021082,49,36,3,4,93,1149,722,96,46,2008
205021083,0,0,0,0,0,0,0,0,0,0
205021084,4,23,4,3,47,1225,1352,210,74,2854
205021085,21,29,8,5,58,1144,910,136,66,2257
205021086,11,20,0,0,37,435,434,60,33,956
205031087,17,33,0,4,65,1505,1367,210,82,3164
205031088,0,5,0,0,4,33,30,7,0,64
205031089,21,35,0,0,59,1576,1164,157,77,2971
205031090,24,47,4,8,86,3086,2047,272,138,5540
205031091,0,31,9,0,47,1641,1774,399,95,3913
205031092,0,0,0,0,0,19,18,5,0,47
205031093,31,58,6,12,110,4045,3857,576,181,8663
205041094,16,29,0,4,46,2469,928,164,88,3644
205041095,6,15,5,0,27,2891,2123,319,139,5467
205041096,14,26,0,7,45,6299,3254,574,201,10334
205041098,6,0,3,0,13,267,198,30,11,504
205041493,5,19,0,3,34,4183,3141,449,156,7925
205041494,0,13,7,0,21,2927,2205,365,80,5576
205051099,0,0,0,0,0,15,5,0,0,24
205051100,11,8,0,4,27,1765,441,113,41,2363
205051101,35,32,3,4,73,2360,1468,242,84,4149
205051102,9,10,0,3,28,1052,408,85,40,1580
205051103,15,17,4,6,50,4069,3087,504,142,7804
205051104,17,20,4,3,47,977,689,85,49,1793
206011106,4,6,0,0,11,1551,1500,143,47,3244
206011107,9,7,0,0,13,849,888,81,31,1853
206011109,0,0,0,0,9,649,629,67,17,1362
206011495,7,19,0,3,28,2436,1827,215,80,4559
206011496,12,20,4,0,34,4042,3575,463,107,8186
206011497,11,23,0,5,39,3024,2704,319,126,6176
206011498,0,6,0,0,7,1104,1073,106,41,2329
206021110,0,14,3,0,24,2755,1659,199,59,4686
206021112,11,20,0,0,34,2920,2318,236,91,5560
206021499,9,9,0,0,19,1868,1653,215,49,3783
206021500,10,9,0,0,15,1632,1457,180,51,3321
206031113,6,7,0,0,16,1253,1318,151,35,2755
206031115,7,5,3,0,10,1564,1183,136,58,2945
206031116,6,22,4,6,32,4237,3321,482,128,8177
206031501,4,22,0,0,27,1837,1719,188,71,3814
206031502,5,12,0,0,18,2079,1653,228,56,4019
206041117,18,46,3,0,62,10289,6128,834,238,17493
206041118,26,30,12,16,82,69822,10663,3935,1030,85451
206041119,26,57,27,3,111,13663,5142,1468,237,20511
206041120,0,3,3,0,7,764,393,98,22,1275
206041121,4,14,0,0,17,3034,1538,196,76,4843
206041124,20,43,8,4,74,19141,10951,1890,406,32388
206041125,25,54,10,3,93,13042,5333,1060,251,19692
206041127,5,8,4,3,18,3342,675,191,103,4304
206041503,52,122,21,33,228,78097,19627,5419,1367,104517
206041504,14,22,3,4,49,17854,7494,1409,370,27130
206041505,95,176,30,27,324,86462,19837,4460,1415,112180
206041506,21,26,0,4,48,7529,3411,490,183,11608
206041507,0,0,0,0,0,220,106,12,0,349
206041508,5,18,3,4,36,19595,5912,2986,389,28884
206041509,10,22,0,3,39,8713,2969,545,179,12410
206041510,5,15,0,0,23,3858,1372,247,81,5553
206051128,29,72,4,0,101,11257,3985,642,193,16077
206051129,6,10,0,0,20,1283,1256,148,31,2720
206051130,0,37,3,0,48,2360,1734,243,65,4404
206051134,8,26,3,0,39,1738,1542,165,55,3500
206051511,26,27,4,3,61,23200,5417,1020,471,30107
206051512,23,60,10,9,95,15019,5166,755,306,21249
206051513,15,22,0,0,43,3438,1843,227,58,5570
206051514,14,32,3,0,52,5577,3007,562,143,9288
206061135,21,50,9,0,82,3319,2697,387,94,6497
206061136,22,24,7,3,56,6017,4329,641,171,11151
206061138,23,85,10,0,127,2358,2055,248,68,4728
206061515,14,30,3,4,52,4311,2126,272,91,6791
206061516,9,30,0,0,38,3527,2425,363,102,6417
206071139,9,27,0,0,36,7087,2975,443,148,10652
206071140,8,26,0,0,33,1234,952,99,32,2317
206071141,16,31,0,0,52,8745,4135,739,168,13793
206071142,17,40,10,4,66,8427,6076,932,203,15640
206071143,9,29,0,0,46,2010,1851,206,72,4130
206071145,7,30,0,0,41,2307,1591,200,74,4164
206071517,15,48,6,9,78,21056,5967,1216,357,28596
206071518,21,40,5,0,72,9406,5192,754,217,15567
207011146,5,18,3,0,31,902,1310,140,33,2390
207011147,14,45,0,3,66,2271,2444,228,70,5014
207011148,11,41,0,0,62,1721,1792,184,53,3755
207011149,22,59,3,3,88,4952,4037,464,116,9574
207011150,6,37,0,6,44,5392,2308,268,87,8052
207011152,22,49,0,3,77,7336,3608,474,144,11561
207011154,8,13,3,0,29,1425,1189,95,38,2748
207011155,13,64,4,3,83,3308,2746,243,83,6377
207011519,8,34,0,0,41,4270,2596,313,89,7271
207011520,12,49,10,4,78,5753,2781,371,126,9031
207011521,15,48,0,0,61,4615,2503,345,72,7535
207011522,9,39,4,0,52,2275,2313,245,80,4911
207021156,5,20,3,0,33,1508,1315,165,30,3028
207021157,8,52,4,3,68,4118,4693,788,140,9735
207021159,8,31,4,3,48,1301,1387,147,52,2883
207021160,3,32,0,0,42,1641,1553,286,52,3534
207021424,7,14,0,0,23,1130,1541,141,52,2853
207021425,11,16,3,3,35,2181,2044,205,61,4488
207031161,9,55,4,3,72,4693,3183,331,129,8331
207031162,0,9,0,0,12,730,868,103,18,1718
207031163,17,44,6,5,79,10880,7821,1045,276,20027
207031164,0,24,4,0,29,1402,1257,96,37,2791
207031165,10,28,3,3,48,4769,2604,310,97,7783
207031166,3,23,4,0,30,3458,2061,354,59,5932
207031167,3,28,0,0,33,1646,1217,108,51,3022
208011168,4,35,7,0,37,1218,1261,132,36,2651
208011169,36,107,14,3,159,4816,4742,600,175,10327
208011170,11,40,0,0,53,1933,1569,158,37,3698
208011171,9,13,3,0,27,3856,1976,221,85,6134
208011172,10,30,0,0,49,1996,2055,209,69,4331
208011173,4,46,3,5,61,2652,2676,326,78,5742
208021174,8,34,5,0,44,3274,2847,318,90,6521
208021176,4,19,0,0,25,1873,1763,187,71,3892
208021177,24,61,4,3,91,4071,3346,302,122,7839
208021178,17,54,4,0,76,3134,2539,275,81,6028
208021179,13,31,3,0,42,2251,2427,261,79,5016
208021180,0,5,3,0,10,695,647,73,21,1432
208021181,4,8,0,0,7,685,699,77,32,1498
208021182,0,19,5,0,22,1186,1370,108,27,2694
208021426,9,15,10,0,34,3190,1889,236,75,5399
208021427,9,5,0,0,9,1125,945,89,37,2194
208031183,0,7,0,0,15,837,545,54,16,1451
208031184,17,41,0,3,68,9761,2563,352,231,12916
208031185,3,11,0,0,20,863,962,101,43,1966
208031186,0,8,0,0,7,1183,1138,132,46,2496
208031187,0,0,0,0,3,961,693,67,34,1752
208031188,19,56,15,0,87,6861,6139,954,188,14147
208031189,4,12,0,0,14,1048,963,130,32,2166
208031190,15,27,3,0,45,2737,2518,257,72,5584
208031191,31,71,0,0,102,11901,5338,697,251,18187
208031192,5,7,0,0,11,2211,1048,193,53,3502
208031193,20,39,0,3,59,4083,2856,294,117,7346
208041194,30,89,7,3,133,6122,4623,583,163,11486
208041195,15,42,4,0,63,5682,6547,1267,213,13710
209011196,0,10,0,0,18,1400,910,122,37,2472
209011197,7,27,0,0,40,3083,3659,476,107,7322
209011198,13,37,6,7,62,7645,6548,958,193,15349
209011199,17,28,7,3,54,5136,2624,305,128,8192
209011200,3,16,3,5,29,1884,2029,200,51,4162
209011201,3,15,0,0,22,725,712,65,13,1509
209011202,6,20,0,0,30,1462,1643,196,53,3348
209011203,4,14,0,0,20,2015,1115,116,41,3288
209011204,0,8,0,0,8,702,716,80,31,1532
209021205,6,14,3,6,30,3581,2261,323,90,6259
209021428,16,35,9,4,63,10369,6679,1005,333,18384
209021429,3,8,0,0,15,1265,1166,121,44,2595
209021523,0,6,0,5,16,708,709,86,29,1529
209021524,0,4,0,0,8,579,468,46,30,1123
209021525,0,6,0,0,5,888,942,111,32,1977
