POW_SA2_CODE_2021,P_OthSvs_H_0,P_OthSvs_H_1_19,P_OthSvs_H_20_29,P_OthSvs_H_30_34,P_OthSvs_H_35_39,P_OthSvs_H_40_44,P_OthSvs_H_45_49,P_OthSvs_H_50ov,P_OthSvs_H_NS,P_OthSvs_H_Tot,P_IDNS_H_0,P_IDNS_H_1_19,P_IDNS_H_20_29,P_IDNS_H_30_34,P_IDNS_H_35_39,P_IDNS_H_40_44,P_IDNS_H_45_49,P_IDNS_H_50ov,P_IDNS_H_NS,P_IDNS_H_Tot,P_Tot_H_0,P_Tot_H_1_19,P_Tot_H_20_29,P_Tot_H_30_34,P_Tot_H_35_39,P_Tot_H_40_44,P_Tot_H_45_49,P_Tot_H_50ov,P_Tot_H_NS,P_Tot_H_Tot
128021607,90,36,28,6,7,25,9,6,3,209,11,16,3,0,13,14,0,10,11,84,479,923,585,280,489,538,125,298,37,3758
128021608,8,6,0,4,3,0,0,0,0,31,0,0,6,6,0,0,0,3,3,22,61,165,104,54,106,133,39,87,4,759
128021609,3,8,0,0,0,0,0,0,0,12,3,0,0,0,0,3,0,0,0,13,41,63,27,25,35,46,13,40,7,296
197979799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,3,0,0,5,4,0,20,0,39
199999499,1008,1477,650,315,578,747,170,465,73,5482,1084,1218,766,454,927,1279,213,641,1421,8012,24814,29173,17751,9879,18394,28353,5954,14630,3693,152632
201011001,9,34,24,12,34,24,10,22,0,164,5,22,9,4,35,24,5,16,26,142,193,692,539,387,823,752,236,474,48,4135
201011002,30,91,88,34,93,79,21,25,9,469,27,66,39,33,79,67,11,32,139,497,1309,3229,2992,2263,4259,3482,944,1523,274,20261
201011005,5,11,0,3,12,7,0,4,0,44,7,12,3,4,9,9,6,6,24,73,173,349,319,250,626,599,236,275,51,2874
201011006,11,26,32,8,53,63,24,47,0,266,8,19,27,14,46,53,22,35,22,243,195,664,516,333,935,1036,306,559,69,4617
201011007,6,8,0,0,6,0,0,3,0,36,0,0,0,0,0,3,0,0,7,16,21,102,54,37,79,108,37,75,6,520
201011008,24,62,41,26,93,86,21,50,0,397,24,47,21,13,102,106,28,66,62,475,516,1384,1052,676,2274,2445,776,1333,156,10619
201011481,10,25,8,16,28,29,7,17,3,141,3,12,0,5,18,19,8,6,16,91,166,506,425,290,481,435,124,246,43,2712
201011482,5,19,24,18,24,12,7,13,6,125,0,9,8,7,4,8,0,3,12,61,124,440,302,221,424,451,136,228,43,2365
201011483,15,18,14,13,29,14,6,18,0,123,0,15,5,6,12,12,3,3,20,87,181,510,369,254,494,453,136,350,51,2793
201011484,9,24,28,21,48,28,3,9,3,172,8,19,8,13,13,15,0,5,31,110,154,753,459,327,592,433,125,234,59,3148
201021009,0,8,9,5,7,13,12,10,0,66,4,10,15,4,7,30,0,7,12,94,107,373,246,163,274,374,83,230,43,1882
201021010,21,15,21,12,18,11,7,11,0,122,3,18,6,3,16,10,4,12,13,91,119,345,282,205,316,329,89,327,40,2051
201021011,6,32,19,11,16,13,5,11,0,123,5,31,16,8,19,22,5,16,26,147,264,839,577,356,470,536,180,410,60,3694
201021012,0,12,3,0,4,4,0,6,0,36,3,12,4,4,3,0,5,14,6,47,61,187,136,69,107,191,73,279,27,1138
201031013,0,5,0,0,0,5,0,3,0,15,0,0,3,0,5,5,3,3,15,34,35,131,113,92,118,163,51,188,25,922
201031014,0,8,5,0,6,4,4,10,0,46,0,8,0,0,4,8,5,4,14,52,60,181,119,110,195,314,75,227,37,1327
201031015,0,6,7,0,5,3,0,3,0,25,4,0,0,0,8,8,0,4,4,34,29,114,66,50,105,140,46,124,13,675
201031016,10,23,14,9,25,17,3,19,0,133,9,11,15,12,30,27,8,6,35,150,230,660,462,404,762,544,152,287,85,3582
201031017,3,8,4,3,6,11,3,4,0,38,3,11,8,4,7,12,0,8,9,54,42,149,100,68,107,172,52,166,23,891
202011018,62,153,120,57,173,130,37,65,8,804,25,81,43,31,100,92,16,50,151,588,1461,3451,3072,2534,5187,3947,1050,1816,335,22856
202011019,7,13,12,9,23,16,3,6,0,95,0,10,9,5,27,18,3,0,17,101,127,447,285,211,476,375,107,227,39,2294
202011020,10,44,29,17,67,70,19,34,0,288,9,44,27,16,53,72,5,37,48,321,296,1070,812,576,1345,1408,406,795,94,6809
202011021,4,15,12,8,8,5,0,3,0,60,0,15,6,0,9,10,0,6,11,58,92,329,272,140,426,308,102,215,23,1902
202011022,17,55,37,32,71,100,18,45,3,369,13,32,29,15,53,52,15,34,40,282,350,1348,1014,664,1432,1177,372,729,106,7199
202011023,4,10,5,0,0,5,0,5,0,34,0,3,3,7,0,4,0,8,6,34,36,151,99,60,137,153,43,129,13,818
202011024,3,17,13,3,6,8,3,7,0,62,0,3,3,4,6,10,0,4,9,45,58,316,208,131,295,256,82,139,20,1515
202011025,9,21,11,14,42,30,3,18,0,150,3,16,15,5,25,24,6,15,30,137,221,506,426,324,915,757,220,423,56,3844
202021026,0,14,8,0,3,12,0,4,0,38,8,7,8,9,26,19,0,5,16,102,78,202,160,95,539,413,127,226,40,1876
202021027,9,32,25,13,34,42,10,18,0,177,12,46,30,23,35,55,3,16,38,246,312,1064,823,605,900,1336,297,518,106,5971
202021028,5,8,6,8,3,8,0,10,0,49,6,12,3,3,10,8,0,8,13,65,109,355,264,147,188,301,71,275,40,1747
202021029,3,8,8,0,8,12,0,9,0,52,3,6,3,5,3,7,3,10,9,48,71,220,154,109,162,235,89,266,28,1333
202021030,11,31,15,16,16,35,14,17,7,153,8,29,15,16,33,25,8,13,28,168,288,923,641,531,767,885,243,609,92,4974
202021031,11,24,20,19,10,15,4,10,0,106,9,16,9,5,7,12,4,12,16,79,130,541,319,233,347,387,98,238,39,2341
202031032,4,12,5,0,10,11,6,8,0,43,4,3,8,0,5,5,0,12,16,58,90,160,118,67,153,345,151,562,29,1671
202031033,4,14,5,0,4,0,9,3,0,33,4,16,14,9,23,17,8,16,35,135,107,370,276,197,290,435,151,666,92,2594
203011034,4,12,8,4,10,16,5,12,0,66,0,16,8,3,3,11,0,0,6,49,69,357,242,199,289,355,82,195,26,1802
203011035,3,12,5,3,10,15,3,6,0,56,7,7,4,4,6,6,4,4,9,46,69,282,153,96,205,284,83,283,41,1494
203011036,6,17,7,0,6,10,0,13,0,55,6,6,4,5,4,5,6,12,9,53,76,332,235,156,195,257,70,307,32,1654
203021037,28,71,53,14,46,44,7,19,0,287,3,32,12,8,13,17,5,12,41,144,318,1314,834,571,872,757,222,399,85,5356
203021039,64,161,116,74,227,225,42,66,10,981,56,141,112,69,222,237,61,77,226,1194,2283,4861,4625,3479,8239,7369,1893,2868,451,36060
203021040,27,73,69,20,68,62,9,25,6,358,8,27,17,13,29,25,7,14,34,167,304,1295,950,558,1043,942,247,498,87,5930
203021042,13,31,23,17,22,19,5,14,0,147,4,27,11,8,30,21,6,18,38,162,321,1249,897,671,1495,1342,358,670,108,7105
203021043,20,53,36,13,32,28,8,24,3,212,8,25,27,30,56,82,7,30,76,334,385,1062,800,476,1480,2016,547,1032,150,7956
203021044,8,30,28,10,3,7,0,11,0,104,3,10,7,10,5,6,0,4,10,52,112,605,358,207,315,287,67,137,33,2112
203021045,22,44,42,27,52,70,21,29,4,306,7,26,29,16,48,41,8,24,34,238,214,853,714,473,1027,1069,318,627,90,5383
203021046,21,56,47,23,40,46,18,18,4,264,3,34,27,8,26,46,12,15,27,195,236,940,723,430,858,959,291,491,58,4992
203021047,15,53,38,22,115,110,20,62,9,440,19,42,52,44,105,136,25,55,71,545,559,1258,1307,976,2804,2908,714,1386,166,12092
203021485,5,14,14,0,3,4,0,0,0,34,0,6,8,3,3,4,0,6,3,36,54,169,209,123,206,206,59,131,20,1177
203021486,11,22,24,11,41,29,7,22,0,173,7,29,13,26,59,71,22,46,48,326,288,943,637,406,1287,1264,418,950,109,6297
203021487,19,48,37,19,32,58,19,31,6,265,13,31,20,17,35,33,0,24,56,227,417,1875,1048,602,1153,1037,332,569,109,7139
203021488,5,19,15,13,33,18,6,11,0,114,14,19,19,15,29,35,13,17,24,188,190,562,454,311,610,765,222,365,59,3542
203031048,7,46,19,5,15,31,11,10,0,147,3,16,6,3,13,18,6,15,18,90,175,703,458,263,519,508,157,283,40,3117
203031049,0,14,9,4,11,7,0,4,0,53,8,18,11,4,7,9,0,3,8,78,234,574,323,219,324,327,83,161,33,2284
203031051,4,15,13,5,6,9,5,0,0,52,6,17,8,0,6,7,0,0,9,56,128,394,259,143,258,294,57,107,30,1676
203031052,12,18,11,10,3,4,0,9,0,60,10,9,5,5,11,5,0,4,14,75,191,462,325,193,311,273,75,195,40,2057
203031053,45,93,67,28,66,31,3,25,9,368,9,46,29,14,41,55,9,39,38,280,496,1748,1116,647,1289,1341,309,725,114,7788
203031489,6,21,16,3,4,10,4,3,0,81,6,17,13,7,5,12,0,9,11,79,171,573,342,198,355,364,115,208,37,2354
203031490,22,56,47,12,30,31,9,20,0,232,8,24,23,12,20,28,3,11,38,166,302,1317,843,479,710,851,199,414,96,5213
204011054,19,17,11,7,15,13,4,9,0,92,4,17,11,7,16,21,5,10,20,109,213,434,333,271,532,495,129,315,59,2777
204011055,4,19,10,11,9,10,0,9,0,67,0,7,7,4,4,10,0,10,15,62,120,374,278,239,320,443,90,363,60,2281
204011056,19,33,26,17,20,37,10,22,10,189,9,25,15,8,27,32,0,20,46,191,266,842,634,439,809,846,230,561,107,4740
204011057,3,23,24,13,21,34,11,20,5,149,13,20,25,16,22,23,3,16,38,172,284,883,698,421,652,719,244,639,109,4652
204011058,0,9,0,0,0,8,0,4,0,26,0,13,11,10,8,15,4,12,14,85,88,270,207,119,337,399,92,254,29,1796
204011059,6,21,17,4,22,29,4,13,4,125,11,8,10,9,16,16,3,9,31,106,179,546,423,338,575,542,133,290,75,3100
204011060,0,0,4,0,5,0,0,0,0,17,3,8,5,9,10,14,0,8,21,83,107,176,161,81,388,609,234,422,40,2213
204011061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,10,7,3,14,0,38
204011062,3,8,3,0,4,6,0,7,0,36,5,10,4,6,11,12,4,12,7,63,88,242,176,115,127,158,63,181,18,1163
204021063,0,35,11,17,23,41,6,14,4,157,15,14,18,10,33,37,20,38,53,230,277,750,562,450,980,1032,269,722,132,5182
204021064,0,3,3,0,3,3,0,7,0,19,0,4,4,6,7,3,0,6,9,31,49,104,104,70,109,142,52,223,21,867
204021065,0,3,6,4,12,13,4,10,0,55,4,8,3,0,4,15,3,3,10,58,145,203,166,90,243,392,90,202,22,1544
204021066,26,55,46,29,107,130,35,38,3,481,13,40,38,22,78,83,16,31,71,401,615,1571,1449,1213,2284,2024,583,975,176,10898
204021067,0,12,8,0,9,9,4,14,0,50,7,16,9,9,21,18,4,13,27,125,157,432,298,175,399,481,135,518,68,2658
204031068,0,13,5,4,0,6,0,9,0,27,4,6,9,6,7,5,0,0,8,55,151,366,272,185,274,326,76,215,28,1888
204031069,11,22,16,11,11,5,4,11,0,93,15,16,26,17,28,12,5,16,32,170,352,936,786,478,671,616,188,528,108,4658
204031070,0,6,3,0,0,7,0,8,0,23,7,7,0,0,0,0,0,3,8,28,41,123,74,59,74,101,31,119,15,646
204031071,0,10,9,9,12,13,4,7,0,71,5,15,10,4,7,7,0,7,16,74,137,317,283,181,367,346,132,249,56,2069
204031072,3,10,13,6,5,20,5,10,3,79,3,19,5,9,5,11,6,4,12,71,130,354,269,198,315,376,110,450,49,2251
204031073,8,27,14,7,12,26,8,15,4,134,11,27,13,10,35,35,13,16,36,193,256,645,539,456,1097,1105,345,700,82,5226
204031075,0,7,5,0,0,3,0,4,0,25,4,12,3,0,4,11,3,5,11,54,80,242,168,105,151,242,99,226,34,1347
204031491,6,18,13,0,13,13,10,7,0,76,7,12,12,7,14,27,6,9,34,127,164,420,303,230,802,1294,279,475,84,4052
204031492,30,72,69,27,136,141,34,75,10,595,11,50,29,16,94,97,28,32,77,437,574,1459,1332,1165,2534,2497,776,1353,207,11885
205011076,12,51,24,22,31,33,11,16,3,207,6,29,26,8,29,29,4,27,33,191,208,899,585,393,756,777,221,601,104,4537
205011077,3,9,4,4,6,13,3,6,4,47,7,12,5,6,13,8,0,9,11,77,120,309,256,150,317,281,92,306,50,1882
205011078,7,11,10,4,20,22,4,14,5,92,3,16,0,0,9,9,6,13,11,86,128,425,317,188,308,389,83,389,61,2294
205011079,41,95,76,59,144,103,33,66,7,625,20,45,37,12,55,67,21,38,82,368,592,1936,1519,1085,2076,1869,557,1221,195,11059
205021080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021081,20,59,49,56,91,97,24,42,10,439,28,44,41,33,74,50,10,42,90,412,550,1460,1293,1038,1987,1717,524,926,219,9720
205021082,0,15,7,0,6,6,0,11,0,52,8,16,9,4,31,7,3,10,22,109,96,292,281,148,312,337,103,386,46,2008
205021083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021084,7,17,13,8,22,19,7,9,0,106,7,15,9,4,15,5,0,15,26,94,210,651,427,270,432,417,102,276,74,2854
205021085,0,15,4,9,5,16,3,5,0,60,9,18,9,5,10,12,0,7,20,94,136,410,282,213,332,363,100,355,66,2257
205021086,0,9,5,6,3,0,0,10,0,37,5,4,3,0,0,3,3,0,11,30,60,201,141,87,159,125,41,111,33,956
205031087,0,17,11,10,10,19,0,7,5,72,8,18,14,4,6,11,3,9,32,99,210,605,470,293,299,505,141,555,82,3164
205031088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,13,4,10,8,0,6,0,64
205031089,6,29,8,11,20,22,5,23,3,120,8,20,9,9,16,21,3,18,28,136,157,519,374,263,444,475,159,503,77,2971
205031090,8,36,23,23,55,49,11,33,9,244,6,19,15,10,34,36,8,15,54,202,272,902,663,482,927,995,370,789,138,5540
205031091,8,32,21,6,22,20,6,9,0,131,14,24,8,13,13,14,3,8,33,131,399,852,577,341,614,592,137,306,95,3913
205031092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,10,3,16,8,0,0,0,47
205031093,35,90,60,29,63,52,16,31,7,372,22,42,25,19,43,59,13,21,75,319,576,1699,1291,864,1379,1522,344,798,181,8663
205041094,0,15,7,3,18,9,4,19,0,64,9,21,10,5,16,41,9,23,34,152,164,413,314,201,787,721,242,710,88,3644
205041095,21,39,28,11,42,42,9,17,4,215,16,19,11,8,34,31,11,19,68,223,319,898,724,507,1167,952,302,464,139,5467
205041096,17,57,40,23,77,109,19,57,4,394,19,47,30,23,83,103,23,42,91,466,574,1278,1123,854,2534,2046,700,1012,201,10334
205041098,0,6,11,0,5,7,0,0,0,33,0,4,0,0,3,5,0,6,0,19,30,86,71,36,69,97,29,73,11,504
205041493,27,53,51,30,97,97,32,32,4,425,20,21,25,19,52,42,11,31,70,300,449,1463,1042,642,1679,1415,405,681,156,7925
205041494,12,23,21,12,24,32,7,17,0,154,10,21,11,13,20,23,10,15,37,165,365,702,786,718,1024,1078,313,507,80,5576
205051099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,4,0,6,0,24
205051100,4,7,0,0,0,4,0,0,0,23,3,6,6,5,7,19,3,12,20,87,113,193,140,112,442,583,202,532,41,2363
205051101,19,24,24,4,37,48,15,12,3,184,16,22,12,7,15,39,0,30,27,166,242,649,482,340,597,816,244,706,84,4149
205051102,3,6,0,8,10,6,0,6,0,37,4,3,0,3,4,7,0,8,22,59,85,166,160,84,215,349,104,378,40,1580
205051103,17,62,52,22,53,74,16,29,8,333,22,29,21,10,40,50,16,37,56,284,504,1297,1045,745,1412,1459,400,806,142,7804
205051104,3,12,6,8,6,18,0,10,0,56,7,9,3,6,8,10,3,3,32,78,85,289,228,172,247,308,84,328,49,1793
206011106,21,33,25,13,31,24,5,5,0,165,8,23,21,13,35,32,5,22,23,191,143,668,511,323,560,557,136,301,47,3244
206011107,6,27,14,12,26,25,7,10,0,121,0,15,11,3,14,10,0,5,15,84,81,417,275,197,299,295,75,188,31,1853
206011109,16,5,8,5,3,5,0,0,0,42,5,10,6,8,7,0,0,8,6,52,67,292,209,134,206,265,51,130,17,1362
206011495,11,31,39,20,28,28,5,10,0,170,10,36,17,13,39,42,0,30,46,236,215,749,656,424,932,877,203,420,80,4559
206011496,40,45,41,39,83,71,17,31,3,379,13,57,59,34,95,81,17,41,51,442,463,1616,1208,752,1604,1422,329,686,107,8186
206011497,23,42,37,21,48,30,13,23,3,240,12,32,28,24,55,29,8,13,52,249,319,1169,982,557,1256,1059,263,445,126,6176
206011498,12,16,7,3,13,3,0,3,0,60,6,13,11,4,11,23,0,13,18,91,106,403,380,292,460,338,103,211,41,2329
206021110,18,34,26,21,38,36,7,10,4,188,12,31,47,28,86,64,12,32,35,339,199,729,556,385,925,1061,278,487,59,4686
206021112,26,73,32,18,75,81,10,24,4,337,13,33,27,26,65,52,9,14,49,277,236,1001,748,567,1125,1011,247,532,91,5560
206021499,27,30,30,20,22,14,7,8,0,149,5,24,17,14,19,46,4,15,29,178,215,744,529,375,633,695,172,372,49,3783
206021500,13,30,31,11,50,27,12,16,0,186,4,16,19,16,9,13,7,10,28,114,180,622,520,316,565,553,178,336,51,3321
206031113,19,40,30,14,17,17,5,18,3,163,0,14,12,0,25,14,3,9,14,99,151,640,428,250,425,420,117,283,35,2755
206031115,5,20,21,3,7,8,0,8,0,76,3,12,15,4,30,18,0,9,23,120,136,519,434,230,562,576,153,272,58,2945
206031116,50,60,83,40,48,42,16,14,4,360,12,31,27,14,50,33,6,27,77,271,482,1497,1139,685,1823,1451,343,621,128,8177
206031501,20,24,27,16,25,18,5,12,3,151,3,17,13,9,19,30,4,9,31,140,188,821,589,312,661,615,163,399,71,3814
206031502,28,54,51,26,30,25,8,13,3,229,8,15,19,6,22,22,7,6,30,132,228,729,594,335,685,731,185,481,56,4019
206041117,59,77,133,99,354,239,74,131,0,1169,27,53,60,27,99,104,18,38,110,540,834,2445,2280,1407,4033,3665,878,1710,238,17493
206041118,20,49,50,36,102,76,23,50,6,416,122,146,137,83,341,374,83,128,535,1947,3935,2989,4075,3601,19859,32871,6070,11020,1030,85451
206041119,32,59,76,69,328,187,61,78,3,894,31,45,40,21,81,102,23,36,131,521,1468,1696,1832,1605,5486,4479,1365,2338,237,20511
206041120,0,0,0,0,0,4,0,0,0,9,0,6,6,0,3,3,0,0,7,29,98,171,138,90,241,284,89,158,22,1275
206041121,8,27,21,17,36,42,4,23,3,166,10,37,29,21,49,73,8,17,32,272,196,638,544,359,1036,1238,259,508,76,4843
206041124,19,51,53,38,77,55,6,20,0,317,15,64,38,30,104,116,15,42,242,667,1890,3533,3726,3690,5800,8265,1754,3320,406,32388
206041125,12,28,34,16,77,44,13,30,0,252,22,59,42,25,102,103,25,49,133,555,1060,1617,1850,1870,4130,5340,1210,2363,251,19692
206041127,0,6,0,8,15,24,7,10,0,71,11,20,11,8,50,32,11,16,53,216,191,221,222,228,935,1139,414,855,103,4304
206041503,147,209,285,123,335,205,61,109,7,1478,176,241,213,120,505,558,121,249,735,2911,5419,7036,7267,5324,28045,28219,7307,14527,1367,104517
206041504,55,100,117,47,181,120,35,55,8,721,54,98,90,46,141,175,35,78,174,885,1409,3154,2758,1585,7404,6358,1409,2690,370,27130
206041505,113,176,194,142,443,366,94,147,15,1692,166,282,273,161,764,878,140,389,766,3811,4460,6429,7725,5683,28696,34167,8130,15476,1415,112180
206041506,61,91,126,118,338,237,58,115,6,1151,15,42,57,30,127,128,21,63,86,585,490,1241,1305,866,2631,2726,734,1433,183,11608
206041507,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,0,0,0,0,10,12,45,38,26,131,54,12,25,0,349
206041508,33,23,44,45,196,172,47,65,0,636,48,63,56,35,163,144,30,63,183,787,2986,2403,2081,1429,5987,7957,1935,3716,389,28884
206041509,12,11,20,11,35,49,8,21,0,161,22,51,34,20,88,93,25,42,91,452,545,1142,1048,787,3154,3306,850,1407,179,12410
206041510,24,24,43,31,108,70,23,38,0,367,13,24,19,12,65,51,17,16,38,259,247,453,530,389,1299,1443,361,761,81,5553
206051128,26,46,67,40,107,58,25,24,6,396,34,67,64,28,174,181,37,96,94,772,642,1587,1445,942,3450,4351,1141,2311,193,16077
206051129,13,38,50,17,13,20,0,11,0,166,4,12,16,11,12,13,8,8,13,93,148,575,418,264,378,482,117,308,31,2720
206051130,26,54,60,28,46,38,10,22,4,290,10,22,18,16,48,66,14,25,27,248,243,770,650,317,760,841,220,544,65,4404
206051134,21,46,32,11,39,23,4,9,0,184,3,17,11,4,29,27,7,24,18,148,165,738,519,285,553,652,185,361,55,3500
206051511,39,87,80,82,291,303,79,131,14,1087,45,121,132,89,437,458,103,207,244,1837,1020,1792,2202,1426,7287,9062,2378,4471,471,30107
206051512,53,102,92,54,141,110,18,49,3,624,29,97,74,69,211,290,64,123,160,1119,755,1935,1928,1304,4611,5992,1478,2934,306,21249
206051513,29,46,46,29,51,49,15,17,0,289,9,32,21,10,49,51,13,31,33,243,227,679,676,489,1224,1252,316,643,58,5570
206051514,48,47,83,64,133,84,12,37,3,507,16,26,29,29,66,92,15,29,56,350,562,1184,1152,673,1987,2091,519,976,143,9288
206061135,49,71,63,28,46,21,7,12,3,298,15,18,32,14,30,30,10,24,29,205,387,1234,956,509,1199,1185,339,606,94,6497
206061136,79,93,117,40,92,85,27,34,9,575,25,61,51,34,85,158,33,85,84,609,641,1864,1555,907,1921,2332,611,1155,171,11151
206061138,24,41,52,22,31,19,4,11,4,202,12,27,18,22,23,39,18,21,32,206,248,867,731,452,676,853,244,584,68,4728
206061515,38,63,45,39,46,22,7,13,4,281,9,33,23,23,79,92,15,32,43,352,272,892,747,481,1343,1625,428,910,91,6791
206061516,36,54,65,22,41,33,12,10,0,276,12,38,30,16,54,69,24,39,60,346,363,1060,895,479,1203,1317,330,685,102,6417
206071139,18,42,48,27,83,63,16,31,0,327,14,70,57,42,136,171,30,72,87,677,443,1119,1089,770,2581,2646,653,1215,148,10652
206071140,13,24,15,17,9,15,3,4,0,95,8,12,14,7,14,20,5,4,22,95,99,424,307,220,374,472,125,268,32,2317
206071141,31,59,70,27,95,91,23,34,5,439,38,75,66,51,182,199,41,95,96,832,739,1567,1514,1052,3073,3253,902,1516,168,13793
206071142,44,68,69,33,81,66,13,30,6,411,17,56,58,42,104,125,29,62,100,592,932,2161,2114,1803,2924,3289,800,1419,203,15640
206071143,13,42,30,25,17,27,5,5,4,162,6,22,9,15,21,20,4,8,30,129,206,868,587,388,654,714,241,398,72,4130
206071145,3,36,24,17,37,24,16,11,0,172,13,21,16,15,57,53,3,17,42,226,200,620,544,418,867,835,226,376,74,4164
206071517,77,108,117,70,139,128,35,72,6,758,48,97,95,65,360,412,109,207,189,1589,1216,2267,2168,1531,7072,7950,2090,3947,357,28596
206071518,27,79,74,38,98,91,29,40,0,477,23,62,48,30,116,118,19,51,114,579,754,1973,1748,1473,3865,3170,834,1536,217,15567
207011146,13,28,24,13,10,5,0,12,0,102,3,18,20,5,13,19,0,3,14,81,140,656,438,222,331,295,72,202,33,2390
207011147,19,54,22,15,21,30,10,8,6,187,14,29,17,17,25,26,5,13,42,187,228,1221,815,407,764,815,215,479,70,5014
207011148,21,38,28,7,21,32,5,10,0,168,10,40,26,7,17,23,4,13,32,168,184,897,597,304,567,611,194,348,53,3755
207011149,53,70,73,50,73,70,17,23,0,441,17,56,51,11,54,53,11,31,54,337,464,1777,1426,835,1954,1737,433,825,116,9574
207011150,18,33,20,14,17,28,3,12,5,149,15,25,24,13,43,48,11,19,43,244,268,991,772,551,967,2479,594,1344,87,8052
207011152,22,48,47,26,59,38,14,24,3,271,19,65,48,27,117,117,25,60,81,560,474,1547,1263,797,2189,2974,708,1475,144,11561
207011154,7,22,14,8,14,13,7,10,0,106,4,14,18,5,15,21,12,15,17,117,95,567,404,213,455,536,155,274,38,2748
207011155,16,55,36,18,33,31,16,26,0,233,14,42,23,19,39,40,10,23,44,250,243,1251,914,577,1098,1150,336,719,83,6377
207011519,23,41,35,10,36,19,4,9,0,189,13,26,20,9,55,43,11,20,40,236,313,1246,859,494,1515,1624,383,746,89,7271
207011520,25,62,48,13,46,41,5,22,0,263,21,24,35,13,74,109,17,43,68,401,371,1245,941,596,1873,2133,560,1192,126,9031
207011521,18,34,32,16,23,21,3,11,0,165,8,34,18,11,36,49,8,30,47,235,345,1033,894,570,1506,1602,499,1005,72,7535
207011522,9,27,13,5,13,0,5,8,3,89,13,31,20,17,33,38,3,11,42,204,245,1117,765,434,737,890,211,434,80,4911
207021156,13,43,34,8,28,27,6,19,0,182,6,18,12,10,16,29,0,6,18,113,165,640,431,254,504,528,146,330,30,3028
207021157,39,82,67,34,98,64,23,47,5,464,12,53,43,21,37,43,3,20,74,306,788,2546,1489,653,1776,1308,359,675,140,9735
207021159,10,28,29,17,10,23,6,15,0,141,6,25,14,0,11,14,0,9,25,112,147,607,505,282,498,400,141,260,52,2883
207021160,10,16,7,12,11,9,0,0,0,69,9,14,12,9,11,10,4,12,23,102,286,650,556,349,511,585,205,350,52,3534
207021424,10,22,24,5,6,10,9,0,0,92,4,15,15,12,20,13,0,11,26,116,141,791,484,265,460,397,102,169,52,2853
207021425,13,33,40,16,18,10,4,9,0,142,4,24,25,10,21,34,3,11,25,165,205,933,725,378,702,903,245,336,61,4488
207031161,55,88,109,62,208,183,46,65,0,828,9,51,37,19,74,93,11,21,70,395,331,1419,1081,681,1703,1807,417,773,129,8331
207031162,9,15,13,12,9,11,3,3,0,81,3,16,9,0,8,10,0,4,8,60,103,413,275,184,267,249,58,155,18,1718
207031163,29,91,91,45,71,70,18,23,3,442,33,80,84,40,117,136,21,37,158,706,1045,2755,2826,2243,4439,4029,907,1510,276,20027
207031164,3,30,18,19,48,44,11,19,3,195,3,22,25,16,33,45,7,12,19,187,96,587,411,258,476,528,120,276,37,2791
207031165,14,50,33,21,70,50,15,24,0,278,9,26,22,19,59,65,6,19,61,294,310,1323,823,456,1801,1735,440,794,97,7783
207031166,28,65,88,70,238,153,34,58,3,735,3,26,18,8,32,38,4,11,31,158,354,1028,669,372,1362,1126,465,505,59,5932
207031167,11,21,8,5,5,9,0,9,4,78,5,7,13,5,20,17,0,6,26,105,108,530,400,281,643,547,143,320,51,3022
208011168,11,30,16,12,14,9,4,6,0,115,4,13,16,0,14,19,5,9,14,95,132,649,394,219,365,462,120,271,36,2651
208011169,49,99,49,37,59,48,9,20,3,372,12,82,64,28,41,69,13,35,84,423,600,2221,1584,939,1498,1704,463,1149,175,10327
208011170,14,21,9,9,15,15,0,10,0,99,7,28,13,12,19,26,3,12,17,146,158,706,531,336,640,661,190,446,37,3698
208011171,12,39,33,17,35,51,4,19,0,212,15,43,34,29,102,99,15,46,43,412,221,820,710,442,1273,1448,388,754,85,6134
208011172,32,60,49,17,23,21,11,7,0,216,13,24,24,8,33,29,0,26,31,188,209,1022,675,360,629,669,214,482,69,4331
208011173,22,41,32,20,23,17,3,8,5,175,13,42,21,5,21,25,6,31,37,210,326,1228,891,566,842,1005,245,558,78,5742
208021174,37,66,50,16,56,44,13,26,0,306,6,35,21,12,44,45,11,19,36,239,318,1313,958,578,1173,1127,321,652,90,6521
208021176,18,33,42,13,36,24,5,10,4,185,3,35,24,11,22,34,0,15,37,187,187,813,659,291,706,700,166,308,71,3892
208021177,14,74,34,13,27,32,17,27,0,248,7,56,34,19,39,38,9,18,69,285,302,1515,1171,666,1411,1386,377,894,122,7839
