merchant_abn,consumer_fraud,average_monthly_transactions,Median_age_persons,Median_mortgage_repay_monthly,Median_rent_weekly,Median_tot_hhd_inc_weekly,name,category_label,merchant_fraud,cwgr,bnpl_revenue,score
24852446429.0,0.0,20.21786938514513,-0.04268131502096645,-0.0151550731511712,0.00540141992596194,-0.0009773152427997756,Erat Vitae LLP,"Retail Goods, Furniture and Home Furnishing",0,0.7450251296252426,-0.35677670499489056,47.478902746936775
64203420245.0,0.0,18.187322686785507,-0.02446561768844825,0.01895027901924887,0.060854250138384504,0.046309326894115196,Pede Nonummy Corp.,Furniture and Home Furnishing,0,0.7657342198562654,-0.3571667995980245,42.85721198536859
49891706470.0,0.0,17.250669154607927,-0.03175223712509664,-0.0005362903409235424,0.027776558016554372,0.01570477295227056,Non Vestibulum Industries,Furniture and Home Furnishing,0,0.8254835248190026,-0.3512191349219834,40.867379793732425
89726005175.0,0.0,15.020127775694316,-0.0505918902087529,-0.0004896806123619325,0.03604508736647015,0.032474486747284814,Est Nunc Consulting,Furniture and Home Furnishing,0,0.7571917822384693,-0.34554744231505996,35.5859328741108
43186523025.0,0.0,13.956551824338302,-0.0301640875638086,-0.0022031328085545723,0.027633075292748905,0.02071766118874505,Lorem Ipsum Sodales Industries,"Retail Goods, Furniture and Home Furnishing",0,0.8402687999158546,-0.34892091963525135,33.334564047803504
68216911708.0,0.0,12.536942939897136,-0.01634248778979614,0.015436659057835653,0.059718630602630156,0.03938848986989046,Placerat Eget Venenatis Limited,"Media and Technology, Furniture and Home Furnishing",0,0.7139126578249627,-0.35471453773948275,29.735777604153512
91923722701.0,0.0,5.295439435880482,-0.030098463251565,0.000898171752902177,0.0246918725955513,0.012285745503115996,Euismod Urna Institute,Furniture and Home Furnishing,0,0.6361352597687691,-0.3580546901902448,12.87912504062493
19933438190.0,0.0,4.543727981091518,-0.024239733251194634,0.023912334144142015,0.05996401211366005,0.043295092826119444,Dui Nec Corporation,Furniture and Home Furnishing,0,0.7842838935516047,-0.360843082028851,11.513083729244498
96152467973.0,0.0,4.574045195917547,-0.046805826737166,-0.0036271424014211805,0.03178212352466631,0.014074488895066099,Rhoncus Donec Associates,Furniture and Home Furnishing,0,0.7008722982224076,-0.3565337504628353,11.388170593686553
57900494384.0,0.0,4.499912892065557,-0.0062152996957647415,0.02299771089153214,0.06965402606977347,0.03653526919142991,Porttitor Tellus Corporation,Furniture and Home Furnishing,0,0.740323748015356,-0.35366606343861856,11.315418038289144
