merchant_abn,consumer_fraud,average_monthly_transactions,Median_age_persons,Median_mortgage_repay_monthly,Median_rent_weekly,Median_tot_hhd_inc_weekly,name,category_label,merchant_fraud,cwgr,bnpl_revenue,score
68216911708.0,0.0,12.536942939897136,-0.01634248778979614,0.015436659057835653,0.059718630602630156,0.03938848986989046,Placerat Eget Venenatis Limited,"Media and Technology, Furniture and Home Furnishing",0,0.7139126578249627,-0.35471453773948275,29.735777604153512
72472909171.0,0.0,6.951649801061845,0.006853271252301941,-0.024791770772436873,0.001284012391734767,-0.0018982894956603863,Nullam Consulting,"Retail Goods, Media and Technology",0,0.8498821290865448,-0.3318801196205124,17.284742693358417
49505931725.0,0.0,4.5806174592714415,-0.010772358998490652,0.009415489559027882,0.041110608752352264,0.015193268532944705,Suspendisse Ac Associates,"Retail Goods, Media and Technology",0,0.8731515539230248,-0.3282317209578288,11.89732163646253
47086412084.0,0.0,3.609547881358951,-0.04206539355775184,-0.002626894197061949,0.018341705850612667,-0.010019698385306605,Eros Limited,"Retail Goods, Media and Technology",0,0.7528729951834734,-0.3609778607520068,9.284432351395502
62694031334.0,0.0,3.1880749927285685,-0.04451982634456558,-0.03308185573039825,-0.016679349922445526,-0.015774699982898363,Vel Est Tempor LLP,"Media and Technology, Furniture and Home Furnishing",0,0.7398802922137068,-0.3524483663510164,8.309651452452824
84703983173.0,0.0,2.755577662343266,-0.06798451398900653,0.03179292204575341,0.07622886907747319,0.043961395025189844,Amet Consulting,Media and Technology,0,0.8310988672200776,-0.3467910723818641,7.556785887476112
50885695263.0,0.0,-0.18010397189461627,-0.22631111598762033,-0.002986798483428676,0.0015193582274741965,-0.030404191942934113,Euismod Institute,Media and Technology,0,3.5100012019010034,-0.3554117075495947,7.500247173556057
75034515922.0,0.0,2.514453333703617,-0.03451555236713883,-0.033590239999533734,-0.014778082153779374,-0.052386749988423846,Ac Eleifend Corp.,"Retail Goods, Media and Technology",0,0.8046289129310998,-0.3475820427983372,6.925396657922943
67400260923.0,0.0,2.412053230480038,-0.05070164667761356,-0.030840709840633508,-0.04694660828023254,-0.03324173189081382,Eleifend PC,Media and Technology,0,0.842091672816028,-0.30035711194753467,6.910794464710888
29521780474.0,0.0,2.1173614220312293,-0.05071328807357774,0.011964473841890743,0.05731859340542481,0.051911100870098294,At Sem Corp.,Media and Technology,0,1.097740218777297,-0.34672677103519794,6.7585257966874
